ID	SRR1944873	SRR1951826	SRR1952058	SRR1952344	SRR1952350	SRR1952418	SRR1952433	SRR1952434	SRR1952455	SRR1952457	SRR1952459	SRR1952490	SRR1952501	SRR1952509	SRR1952518	SRR1952521	SRR1952522	SRR1952526	SRR1952531	SRR1952562	SRR1952575	SRR1952582	SRR1952598	SRR1952605	SRR1952610	SRR1952613	SRR1952617	SRR1952618	SRR1952620	SRR1952621	SRR2077402	SRR2077403	SRR2175645	SRR2175647	SRR2175649	SRR2175654	SRR2175658	SRR2175659	SRR2175670	SRR2175721	SRR2175723	SRR2175724	SRR2175725	SRR2175726	SRR2175727	SRR2175728	SRR2175745	SRR2175749	SRR2175750	SRR2175755	SRR2175756	SRR2175762	SRR2175763	SRR2175764	SRR2175765	SRR2175766	SRR2175767	SRR2175768	SRR2175769	SRR2175771	SRR2175772	SRR2175773	SRR2175774	SRR2175775	SRR2175776	SRR2175777	SRR2175778	SRR2175779	SRR2175780	SRR2175792	SRR2175804	SRR2240255	SRR2240257	SRR2240287	SRR2240290	SRR2240291	SRR2240318	SRR2240728	SRR2240729	SRR2240837	SRR2240917	SRR2240921	SRR2241023	SRR2241109	SRR2241118	SRR2241305	SRR2241306	SRR2241409	SRR2241505	SRR2241593	SRR2241597	
Acholeplasma	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00011241	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00110858	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00016455	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00024139	0.00000000	0.00000000	0.00000000	0.00000000	
Acidaminococcus	0.00029989	0.00000000	0.00000000	0.00000000	0.00018588	0.00017614	0.00028223	0.00031813	0.00345330	0.00000000	0.00000000	0.00000000	0.00137061	0.00016799	0.00000000	0.00000000	0.00021589	0.00053179	0.00000000	0.00000000	0.00000000	0.00016873	0.00000000	0.00000000	0.00000000	0.00040305	0.00000000	0.00000000	0.00034383	0.00000000	0.00030135	0.00298666	0.00029595	0.00052263	0.00000000	0.00000000	0.00000000	0.00297213	0.00071253	0.00000000	0.00049107	0.00019376	0.00087579	0.00175551	0.00258346	0.00000000	0.00000000	0.00000000	0.00014235	0.00000000	0.02004647	0.00000000	0.00018892	0.00000000	0.00071680	0.00021578	0.00380761	0.00064206	0.00067956	0.00000000	0.00030790	0.00073609	0.00030322	0.00000000	0.00751237	0.00000000	0.00000000	0.00024066	0.00191925	0.00000000	0.00000000	0.00000000	0.00027169	0.00030135	0.00298667	0.00000000	0.00023126	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020607	0.00000000	0.00000000	0.00040752	0.01551588	0.01085822	0.02669640	0.00000000	0.00026526	
Akkermansia	0.00042985	0.00000000	0.00047367	0.01496970	0.00691055	0.00020838	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00691246	0.00490204	0.00000000	0.00000000	0.00040310	0.00838844	0.02780139	0.02956016	0.00000000	0.00000000	0.00721484	0.00895031	0.03719981	0.09264804	0.16207952	0.00811212	0.00000000	0.00000000	0.01251295	0.00882655	0.01499597	0.00000000	0.00000000	0.01399817	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01515126	0.00000000	0.00029873	0.10905632	0.00484699	0.00000000	0.00573781	0.00903947	0.00000000	0.01867206	0.00000000	0.03343509	0.00000000	0.00355335	0.02928946	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00721470	0.00895031	0.00000000	0.00000000	0.00000000	0.00000000	0.00042468	0.00000000	0.00516611	0.00467379	0.00584982	0.01624183	0.01657330	0.01501284	0.11112622	0.00000000	0.00000000	0.08070527	
Alistipes	0.05979066	0.07592667	0.06869393	0.06140262	0.09099291	0.07744134	0.06193362	0.05442273	0.03172175	0.00000000	0.00000000	0.01162978	0.00526921	0.09890280	0.00000000	0.00612799	0.00604901	0.01499947	0.01220431	0.09993107	0.09781204	0.07378968	0.06734133	0.04218105	0.07396634	0.05307443	0.05404879	0.09762415	0.09620381	0.06697039	0.19593198	0.10481532	0.01061493	0.23518645	0.06519680	0.02314376	0.05412837	0.04611424	0.14221676	0.00000000	0.01464253	0.05805850	0.00000000	0.07979341	0.06443712	0.00000000	0.04985969	0.00875978	0.10406129	0.01281574	0.05418974	0.13995454	0.01723920	0.07207068	0.07332128	0.09738983	0.05490150	0.17263605	0.02866737	0.00218793	0.03117255	0.04777586	0.05838526	0.03854691	0.00000000	0.04947729	0.00000000	0.04273625	0.00000000	0.03656874	0.10886317	0.15804050	0.11881833	0.19592975	0.10481564	0.01337986	0.03807368	0.11234083	0.07787621	0.07955131	0.11728349	0.03991215	0.11707010	0.01471500	0.05599271	0.03234523	0.07432838	0.08860602	0.13805584	0.04075913	0.09765338	
Alloprevotella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00043323	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00037145	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00376017	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00033707	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00671204	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Anaerostipes	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00024238	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00029547	0.00000000	0.00050421	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00123033	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00011871	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020536	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Anaerotruncus	0.00023157	0.00143822	0.00000000	0.00034140	0.00030139	0.00022066	0.00061947	0.00059740	0.00017703	0.00036207	0.00037392	0.00000000	0.00090645	0.00089924	0.00000000	0.00000000	0.00030943	0.00053119	0.00048028	0.00000000	0.00000000	0.00034885	0.00195202	0.00063415	0.00049222	0.00136456	0.00143544	0.00000000	0.00000000	0.00039814	0.00186537	0.00140649	0.00154111	0.00097899	0.00206688	0.00011078	0.00000000	0.00059587	0.00093294	0.00070577	0.00033269	0.00163896	0.00000000	0.00057896	0.00000000	0.00000000	0.00000000	0.00018005	0.00000000	0.00000000	0.00000000	0.00157927	0.00000000	0.00012038	0.00150859	0.00019664	0.00099882	0.00160883	0.00027872	0.00000000	0.00129824	0.00124321	0.00031420	0.00000000	0.00018606	0.00242251	0.00033457	0.00000000	0.00000000	0.00112625	0.00000000	0.00000000	0.00146545	0.00186536	0.00140650	0.00000000	0.00034523	0.00000000	0.00260534	0.00056271	0.00034372	0.00034337	0.00089619	0.00039943	0.00118745	0.00033276	0.00045174	0.00000000	0.00249466	0.00000000	0.00038543	
Bacillus	0.00000000	0.00054536	0.00000000	0.00000000	0.00000000	0.00026292	0.00000000	0.00055777	0.00000000	0.00000000	0.00000000	0.00000000	0.00050476	0.00033987	0.00000000	0.00000000	0.00000000	0.00000000	0.00037740	0.00000000	0.00000000	0.00000000	0.00000000	0.00030799	0.00000000	0.00068771	0.00058362	0.00000000	0.00000000	0.00024459	0.00018733	0.00051594	0.00042903	0.00000000	0.00054636	0.00000000	0.00034864	0.00000000	0.00033652	0.00000000	0.00000000	0.00000000	0.00000000	0.00048514	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00063045	0.00000000	0.00000000	0.00033163	0.00000000	0.00024570	0.00048082	0.00000000	0.00000000	0.00073891	0.00000000	0.00000000	0.00000000	0.00000000	0.00025960	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00074711	0.00018733	0.00051594	0.00000000	0.00022632	0.00000000	0.00000000	0.00054058	0.00000000	0.00000000	0.00052309	0.00000000	0.00096908	0.00034967	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Bacteroides	0.65015080	0.42552857	0.51808234	0.30706542	0.59256801	0.60618240	0.44169747	0.55831073	0.59905502	0.77898622	0.80796270	0.63212172	0.38786732	0.44494534	0.71594756	0.67554406	0.46148318	0.48009896	0.32627174	0.53441481	0.59367064	0.59756159	0.45263140	0.34636308	0.48701499	0.44348701	0.31405686	0.63772806	0.73539647	0.51930544	0.41737570	0.41773418	0.39569219	0.27790917	0.05660950	0.67968088	0.47890145	0.38161316	0.34377218	0.51597699	0.42716226	0.41430502	0.79975291	0.46723320	0.40263335	0.72155129	0.24260214	0.23338200	0.63530361	0.80932096	0.26234491	0.34502598	0.70034889	0.54838759	0.31972508	0.34950037	0.44714255	0.22896279	0.58166840	0.71710861	0.17946825	0.44716854	0.63572477	0.71317391	0.76184797	0.25193533	0.82334522	0.80929504	0.63450440	0.48961207	0.59055080	0.12747582	0.12823094	0.41737084	0.41773573	0.78416900	0.64894426	0.44804474	0.34950834	0.21428584	0.55745505	0.79077500	0.39783695	0.52595774	0.20000024	0.54733683	0.39547520	0.43316333	0.33555517	0.68080744	0.47864926	
Barnesiella	0.00000000	0.00000000	0.00000000	0.02786846	0.00000000	0.00000000	0.00000000	0.00000000	0.02430298	0.00000000	0.00000000	0.00000000	0.00035447	0.02435753	0.00000000	0.00000000	0.00392047	0.00632180	0.00891499	0.03723668	0.04893963	0.01416136	0.03862012	0.00115160	0.00265544	0.00000000	0.01627818	0.00615478	0.00000000	0.03689741	0.00000000	0.00000000	0.01107164	0.00000000	0.00031279	0.00000000	0.00018448	0.00000000	0.00439389	0.03208535	0.00142833	0.00346523	0.00000000	0.00000000	0.00000000	0.00000000	0.04765310	0.00126781	0.00000000	0.00000000	0.00000000	0.00000000	0.00737936	0.00000000	0.00078982	0.00000000	0.00000000	0.00412022	0.01714255	0.00000000	0.06453286	0.00971922	0.00543236	0.01344338	0.00000000	0.00419644	0.00000000	0.00000000	0.00000000	0.00565574	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00096353	0.01692924	0.00000000	0.00000000	0.00000000	0.01436823	0.00000000	0.00155514	0.00000000	0.01556445	0.00000000	0.00000000	0.02486759	0.00000000	0.00000000	0.00163700	
