ID	meanAbun	log
Bacteroides	0.27585083618544604	-0.7764608091627878
Prevotella	0.04119731458920188	-0.3135403460112027
Eubacterium	0.03651203145539906	-0.30210444958457916
Ruminococcus	0.034936094377934275	-0.29813059345835063
Alistipes	0.029255778309859155	-0.2831515076497438
Bifidobacterium	0.01890216335680751	-0.25198571673488296
Faecalibacterium	0.01807885383802817	-0.24918936705742872
Clostridium	0.017616324624413145	-0.24759037180773827
Parabacteroides	0.014531870892018779	-0.2363277848469642
Roseburia	0.01314549308685446	-0.23085750836430238
Subdoligranulum	0.008407350856807511	-0.20926417290582056
Ruminiclostridium	0.007139111784037559	-0.20234039402898432
Coprococcus	0.007127029600938967	-0.20227106975159584
Blautia	0.007098807100938967	-0.20210886358548594
Collinsella	0.005710269577464789	-0.19359251201490565
Dialister	0.005561920809859155	-0.19261098938821794
Dorea	0.005263727112676056	-0.19058815006551935
Akkermansia	0.00515070720657277	-0.18980297731729673
Butyrivibrio	0.004587967253521127	-0.18572453552485854
Barnesiella	0.0038721583450704224	-0.18005225498332297
Oscillibacter	0.0035566952816901407	-0.1773388143396375
Phascolarctobacterium	0.0034117961384976525	-0.17604033324916826
Streptococcus	0.0032624514671361505	-0.17466405693025042
Lachnoclostridium	0.003187236502347418	-0.17395536643031734
Treponema	0.0029087096244131455	-0.17123153605798616
Sutterella	0.0026895040375586854	-0.168964628559638
Odoribacter	0.0026556914788732396	-0.16860420395861037
Holdemanella	0.002560245974178404	-0.16757009453842275
Escherichia	0.002471320692488263	-0.16658330344174369
Megamonas	0.002312594483568075	-0.164761332792781
Catenibacterium	0.002283148028169014	-0.16441419022686957
Paraprevotella	0.0022454325234741784	-0.16396514642876767
Methanobrevibacter	0.0015907094835680752	-0.15519334799573636
Lactobacillus	0.0015867335093896714	-0.15513309570385078
Eggerthella	0.001399362147887324	-0.1521667304964652
Acidaminococcus	0.0010926471244131456	-0.14664580054037404
Coprobacillus	9.498906220657277e-4	-0.1436954267784482
Tyzzerella	9.250473943661972e-4	-0.14315028222977463
Butyricicoccus	9.096907276995305e-4	-0.14280806021872539
Veillonella	9.015969483568075e-4	-0.14262602797507035
Megasphaera	8.024037323943662e-4	-0.14029380134686995
Enterococcus	7.690524882629108e-4	-0.13946318014284123
Alloprevotella	7.558505633802817e-4	-0.13912720473167542
Anaerotruncus	6.508214084507042e-4	-0.1362903749426143
Succinatimonas	6.202928169014084e-4	-0.13540376694838924
Paenibacillus	6.010191901408451e-4	-0.13482751534374382
Bilophila	5.904127934272301e-4	-0.1345046244264977
Pseudoflavonifractor	5.857641197183098e-4	-0.13436176740379002
Marvinbryantia	5.788792488262911e-4	-0.13414865931126832
Butyricimonas	5.578237441314554e-4	-0.13348519470128284
Fusobacterium	5.481586502347418e-4	-0.1331744862653162
Bacillus	5.07863368544601e-4	-0.13183397488270185
Anaerostipes	4.4808919014084506e-4	-0.1296929682610456
Enterorhabdus	4.4135901408450705e-4	-0.1294389146690439
Klebsiella	3.9240834507042255e-4	-0.12749885705195355
Tannerella	3.753656220657277e-4	-0.1267811159681793
Erysipelatoclostridium	3.712312089201878e-4	-0.12660334455908803
Slackia	3.13710117370892e-4	-0.12396118679148141
Intestinibacter	2.799241784037559e-4	-0.12223456844102427
Mitsuokella	2.6875045774647885e-4	-0.12162894322784568
Elusimicrobium	2.6637159624413143e-4	-0.12149755585176614
Enterobacter	2.4725585680751176e-4	-0.120408132033691
Flavonifractor	2.2635019953051643e-4	-0.11914084388482814
Campylobacter	2.0467846244131454e-4	-0.11772918828329106
Desulfovibrio	1.9896645539906104e-4	-0.11733819276647588
Brachyspira	1.7393789906103285e-4	-0.11551596292930126
Parasutterella	1.724394718309859e-4	-0.11540062583214036
Lactococcus	1.5883570422535213e-4	-0.11431654452060692
Selenomonas	1.5265550469483567e-4	-0.11380025179463345
Oribacterium	1.4739018779342722e-4	-0.11334749305517705
Blastocystis	1.465657394366197e-4	-0.11327547188576359
Faecalitalea	1.1475769953051644e-4	-0.11022092269224551
Haemophilus	1.0955923708920188e-4	-0.10966060377924175
Sphaerochaeta	1.0901099765258216e-4	-0.10960030999041766
Desulfitobacterium	8.952984741784037e-5	-0.10728533401008408
Mogibacterium	8.781018779342723e-5	-0.10706256370006353
Gordonibacter	8.319e-5	-0.10644658157882118
Turicibacter	8.203474178403756e-5	-0.10628836263063854
Terrisporobacter	8.142673708920188e-5	-0.10620438730779111
Succinimonas	7.978227699530517e-5	-0.10597475976655242
Holdemania	7.242819248826291e-5	-0.10489970872296278
Peptoclostridium	6.941856807511737e-5	-0.10443475749130483
Pseudomonas	6.678930751173709e-5	-0.10401532915802872
Dehalobacter	6.249609154929578e-5	-0.10330144669383488
Acholeplasma	6.242949530516432e-5	-0.10329007059508856
Propionibacterium	5.75181572769953e-5	-0.10242323247306707
Actinomyces	5.2961866197183096e-5	-0.10156472226927156
Desulfosporosinus	5.251058685446009e-5	-0.1014765265448574
Porphyromonas	5.048548122065728e-5	-0.10107314652257036
Solobacterium	4.552272300469484e-5	-0.10002701779791437
T4likevirus	4.430289906103286e-5	-0.09975599243830788
Mahella	3.918661971830986e-5	-0.09854959434319871
Methanosphaera	3.874146713615023e-5	-0.09843876096220974
Ethanoligenens	3.691829812206573e-5	-0.0979738685974305
Olsenella	3.6240011737089204e-5	-0.09779619451189646
Weissella	3.524849765258216e-5	-0.09753159576848072
Rothia	3.187220657276995e-5	-0.09658311915781283
Acetivibrio	3.0318145539906102e-5	-0.09611905695183348
Atopobium	2.760218309859155e-5	-0.09525972653923653
Citrobacter	2.5798274647887325e-5	-0.09465033520446375
Lentisphaera	2.5238732394366198e-5	-0.09445429778981353
Candidatus_Methanomethylophilus	2.450725352112676e-5	-0.09419263395084104
Methanomassiliicoccus	2.2770657276995306e-5	-0.0935450386191721
Helicobacter	2.2398791079812206e-5	-0.09340117372980043
Cellulosilyticum	2.119487089201878e-5	-0.09292167863555742
Lysinibacillus	2.0934014084507042e-5	-0.09281487343999405
Cronobacter	1.997711267605634e-5	-0.09241355582432363
Haloplasma	1.617399061032864e-5	-0.0906445232465422
Leuconostoc	1.59925e-5	-0.09055189910073773
Synergistes	1.4979495305164318e-5	-0.09001849479919603
Rhizobium	1.4603838028169014e-5	-0.08981315660115598
Paludibacter	1.4155105633802818e-5	-0.0895621159558329
Pediococcus	1.308799295774648e-5	-0.08893778240572513
Burkholderia	1.1799096244131456e-5	-0.08812523384770121
Dysgonomonas	9.861384976525821e-6	-0.08675371467549325
Raoultella	8.764518779342722e-6	-0.08587524824096267
Desulfotomaculum	8.636537558685446e-6	-0.0857669063996096
Streptomyces	6.997288732394366e-6	-0.08424608484736433
Oxalobacter	6.731713615023474e-6	-0.0839723572098898
Acetobacterium	6.323615023474178e-6	-0.08353367830802559
Mobiluncus	4.763380281690141e-6	-0.08160232365220085
Coraliomargarita	4.662100938967136e-6	-0.08145946448002388
Anaerofustis	4.384131455399061e-6	-0.08105357309641746
Haliangium	3.4775469483568078e-6	-0.0795596632789076
Caldicellulosiruptor	3.2518661971830987e-6	-0.07913720496477099
Mycoplasma	3.059025821596244e-6	-0.07875619365745172
Salmonella	3.0094483568075117e-6	-0.07865497620863461
Alkaliphilus	2.9020657276995306e-6	-0.0784308327317132
Sorangium	2.873931924882629e-6	-0.07837095341751105
Ureaplasma	2.7335680751173707e-6	-0.07806460473971086
Bordetella	2.34612676056338e-6	-0.07714415559646684
Parvimonas	2.039553990610329e-6	-0.07631968523694233
Proteus	2.0315962441314554e-6	-0.07629692131418865
Hafnia	1.9720305164319246e-6	-0.07612408539131314
Stigmatella	1.9553638497652583e-6	-0.07607493346889324
Cryptobacterium	1.7990023474178403e-6	-0.07559562759877769
Pseudoramibacter	1.6211971830985915e-6	-0.07500555596304466
Succinispira	1.6017136150234742e-6	-0.0749375966955038
Corynebacterium	1.3934272300469485e-6	-0.07416337659993745
Acinetobacter	1.3837558685446009e-6	-0.07412508799250277
Coriobacterium	1.2521361502347417e-6	-0.07357994633656595
Spirochaeta	1.1607981220657276e-6	-0.07317214471584192
Capnocytophaga	1.0807511737089203e-6	-0.07279157162743335
Lachnoanaerobaculum	8.502464788732395e-7	-0.0715423260042549
Solibacillus	8.359272300469484e-7	-0.07145549854996527
Eggerthia	8.193544600938967e-7	-0.07135340036382895
Achromobacter	7.619131455399061e-7	-0.07098525195008072
Gemella	7.346596244131456e-7	-0.07080218179011287
Pyramidobacter	7.008685446009389e-7	-0.07056692162790501
Candidatus_Saccharimonas	6.944131455399061e-7	-0.07052087337593359
Zymophilus	6.773708920187793e-7	-0.07039751500420453
Metascardovia	6.243427230046949e-7	-0.06999582496856827
Syntrophobotulus	5.827699530516432e-7	-0.06965984176896793
Kurthia	4.688262910798122e-7	-0.06861989294978188
Ureibacillus	4.4158450704225356e-7	-0.06833917024133349
Leptotrichia	4.2863849765258214e-7	-0.0682004868123357
Gardnerella	4.2565727699530514e-7	-0.06816803896445545
Pelosinus	3.4768779342723e-7	-0.06724062861490249
Chthoniobacter	3.3875586854460094e-7	-0.06712316621522002
Proteiniphilum	3.133215962441315e-7	-0.06677334505435617
Yersinia	3.098826291079812e-7	-0.06672417299773772
Anaerococcus	2.9852112676056333e-7	-0.06655828701158582
Fibrobacter	2.868661971830986e-7	-0.06638232928046581
Trichomonas	2.2976525821596243e-7	-0.06541844922377468
Fretibacterium	2.2693661971830986e-7	-0.06536547935529305
Thermoanaerobacterium	2.1968309859154932e-7	-0.06522697772743236
Peptoniphilus	2.050586854460094e-7	-0.06493519299946307
Epulopiscium	1.9211267605633802e-7	-0.0646613718956083
Anaeroglobus	0	-0
Bulleidia	0	-0
Candida	0	-0
Candida__Debaryomycetaceae	0	-0
Eikenella	0	-0
Eremothecium	0	-0
Finegoldia	0	-0
Granulicatella	0	-0
Kluyveromyces	0	-0
Lachancea	0	-0
Methanobacterium	0	-0
Morganella	0	-0
Neisseria	0	-0
Opitutus	0	-0
Parascardovia	0	-0
Pedosphaera	0	-0
Peptostreptococcus	0	-0
Shuttleworthia	0	-0
Staphylococcus	0	-0
Stomatobaculum	0	-0
Vibrio	0	-0
