ID	A.ERR505083	A.ERR505084	A.ERR505085	A.ERR505086	A.ERR505087	A.ERR505088	A.ERR505089	A.ERR505090	A.ERR505091	A.ERR505092	A.ERR505093	A.ERR505094	A.ERR505095	A.ERR505096	A.ERR505097	A.ERR505098	A.ERR505099	A.ERR505100	A.ERR505101	A.ERR505102	A.ERR505103	A.ERR505104	A.ERR505105	A.ERR505106	X
Acetivibrio	0.00016273	0.00013581	0.00013507	0	0.00017397	0.00064988	0.00017424	0.00012317	0	0	0	0	0	0	0	0.000193	0	0	0	0	0	0	0.00032658	0	NA
Acholeplasma	0.00136335	0.00063749	0.00121434	0.00193646	0	0.00057604	0.00016939	0.00059624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00122668	NA
Acidaminococcus	0	0	0.01028574	0.00483761	0.00017636	0.00043859	0.00041567	0.00022634	0.00018765	0.00021782	0.00029422	0.0002407	0.00038594	0.00037709	0	0	0	0	0	0	0	0	0.00030992	0	NA
Akkermansia	0.00036569	0.00043702	0	0.00063124	0	0.00038617	0.00544974	0.00096679	0	0	0	0.00531788	0	0	0	0	0.00057124	0.0024246	0	0	0	0	0	0.00024053	NA
Alistipes	0.00572729	0.00629133	0.03396474	0.05455227	0.01931544	0.02101597	0.01712799	0.0217589	0.00578924	0.00432418	0.0236066	0.08232757	0.00181571	0.00137893	0.00209369	0.00160278	0.00230718	0.01053228	0.00517922	0.00793621	0.00606794	0.00607174	0.00301315	0.00305033	NA
Alloprevotella	0	0	0	0	0	0.00039359	0	0	0.01856612	0.00543931	0	0	0.00843176	0.00744352	0	0	0	0	0	0	0	0	0.0011671	0	NA
Anaerostipes	0.00047486	0.00025566	0.00022676	0.00032239	0.00051662	0.00048487	0.0002614	0	0	7.659e-05	0.00036345	0.00029558	0	0	0.00015688	0.00019257	0.00031197	0.0003816	0.0004522	0.00015921	0.00041574	0.00125523	0.0004378	0.00052459	NA
Anaerotruncus	0.00043809	0.00061341	0.00047732	0.00061868	0.00054741	0.00063898	0.00039144	0.00054623	0.00032799	0.00022763	0.00042998	0.0011085	0.00015041	0	0.00046346	0.00034013	0.00023339	0.00048891	0.00031431	0.00017618	0.00019428	0.00014827	0.00035085	0.00055656	NA
Bacillus	0.00101168	0.00083394	0.00094468	0.00143441	0.00079591	0.00110652	0.00082715	0.00066792	0.00048139	0.00087226	0.00047066	0.00065045	0.00096358	0.00061515	0.00154385	0.00129478	0.00046713	0.00134247	0.00050447	0.00023219	0.00046126	0.00092566	0.0012069	0.00081555	NA
Bacteroides	0.26821531	0.28045865	0.19791533	0.14107828	0.41167539	0.21466881	0.18342677	0.31626138	0.12367574	0.0644256	0.45222293	0.43846316	0.10102773	0.08462153	0.18643401	0.11503637	0.51576643	0.41856867	0.45779412	0.62955685	0.63528102	0.64554733	0.34714316	0.31829435	NA
