ID	A.S623	A.S624	A.S625	A.S626	A.S627	A.S628	A.S629	A.S630	A.S631	A.S632	A.S633	A.S634	A.S635	A.S636	A.S637	A.S638	A.S639	A.S640	A.S641	A.S642	A.S643	A.S644	A.S645	A.S646	A.S647	A.S648	A.S649	A.S650	A.S651	A.S652	A.S653	A.S654	A.S655	A.S656	A.S657	A.S658	A.S659	A.S660	A.S661	A.S662	A.S663	A.S664	A.S665	A.S666	A.S667	A.S668	A.S669	A.S670	A.S671	A.S672	A.S673	A.S674	A.S675	A.S676	A.S677	A.S678	A.S679	A.S680	A.S681	A.S682	A.S683	A.S684	A.S685	A.S686	A.S687	A.S688	A.S689	A.S690	A.S691	A.S692	A.S693	A.S694	A.S695	A.S696	A.S697	A.S698	A.S699	A.S700	A.S701	A.S702	A.S703	A.S704	A.S705	A.S706	A.S707	A.S708	A.S709	A.S710	A.S711	A.S712	A.S713	A.S714	A.S715	A.S716	A.S717	A.S718	A.S719	A.S720	A.S721	A.S722	A.S723	A.S724	A.S725	A.S726	A.S727	A.S728	A.S729	A.S730	A.S731	A.S732	A.S733	A.S734	A.S735	A.S736	A.S737	A.S738	A.S739	A.S740	A.S741	A.S742	A.S743	A.S744	A.S745	A.S746	A.S747	A.S748	A.S749	A.S750	A.S751	A.S752	A.S753	A.S754	A.S755	A.S756	A.S757	A.S758	A.S759	A.S760	A.S761	A.S762	A.S763	A.S764	A.S765	A.S766	A.S767	A.S768	A.S769	A.S936	A.S937	A.S938	A.S939	A.S940	A.S941	A.S942	A.S943	A.S944	
Acetivibrio	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00015886	0.00000000	0.00024617	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00028821	0.00028632	0.00000000	0.00039373	0.00000000	0.00000000	0.00000000	0.00046753	0.00000000	0.00000000	0.00000000	0.00025487	0.00000000	0.00026503	0.00000000	0.00000000	0.00000000	0.00023730	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00041642	0.00000000	0.00021565	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00022567	0.00015671	0.00000000	0.00000000	0.00000000	0.00018100	0.00000000	0.00000000	0.00019810	0.00000000	0.00000000	0.00000000	0.00000000	0.00013493	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020502	0.00021163	0.00017636	0.00024820	0.00000000	0.00019890	0.00036144	0.00000000	0.00000000	0.00016426	0.00026794	0.00037154	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00023262	0.00000000	0.00000000	0.00019787	0.00000000	0.00015296	0.00000000	0.00000000	0.00021479	0.00016294	0.00022089	0.00020557	0.00000000	0.00000000	0.00022374	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00024968	0.00000000	0.00000000	0.00020370	0.00000000	0.00042620	0.00000000	0.00000000	0.00025339	0.00000000	0.00000000	0.00000000	0.00000000	0.00027091	0.00024576	0.00000000	0.00031111	0.00000000	0.00040119	0.00000000	0.00000000	0.00032267	0.00018263	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00019072	0.00027424	0.00028757	0.00000000	0.00047748	0.00000000	0.00024025	0.00017208	
Acetobacterium	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00027737	0.00000000	0.00031148	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00013402	0.00000000	0.00000000	0.00028923	0.00000000	0.00000000	0.00000000	0.00021413	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00033221	0.00000000	0.00000000	0.00000000	0.00026634	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00017620	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00026819	0.00000000	0.00000000	0.00000000	0.00027575	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00028135	0.00024202	0.00024789	0.00024863	0.00021740	0.00040429	0.00000000	0.00000000	0.00000000	0.00000000	0.00015543	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00037373	0.00000000	0.00000000	0.00024164	0.00000000	0.00011103	0.00000000	0.00011181	0.00000000	0.00000000	0.00000000	0.00000000	0.00038120	0.00000000	0.00000000	0.00000000	0.00029168	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00030251	0.00000000	0.00000000	0.00000000	0.00000000	0.00032029	0.00000000	0.00000000	0.00024194	0.00000000	0.00000000	0.00000000	0.00000000	0.00024113	0.00020183	0.00023058	0.00000000	0.00040172	0.00000000	0.00000000	0.00000000	0.00000000	0.00018542	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00022395	
Acholeplasma	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00007891	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00038058	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00047519	0.00000000	0.00000000	0.00023115	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Acidaminococcus	0.00000000	0.00000000	0.00000000	0.00000000	0.00025360	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00027131	0.00019573	0.00020681	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00040733	0.00013114	0.00024955	0.00000000	0.00000000	0.00000000	0.00000000	0.00034635	0.00000000	0.00000000	0.00000000	0.00033564	0.00000000	0.00000000	0.00000000	0.00000000	0.00051203	0.00022715	0.00000000	0.00067674	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00040050	0.00000000	0.00000000	0.00000000	0.00000000	0.00072041	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00017531	0.00053858	0.00000000	0.00037205	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00109723	0.00000000	0.00000000	0.00000000	0.00082037	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00007700	0.00000000	0.01240906	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00110933	0.00000000	0.00000000	0.00000000	0.00016709	0.00022247	0.01350179	0.00016845	0.00028896	0.00055751	0.00046154	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00034728	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01014752	0.00040912	0.00000000	0.00000000	0.00000000	0.00000000	0.00021573	0.00000000	0.00000000	0.00000000	0.00005547	0.00000000	0.00000000	0.00487773	0.00000000	0.00000000	0.00000000	0.00000000	0.00075907	0.00030130	
Actinomyces	0.00000000	0.00012908	0.01381171	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00012985	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00027483	0.00243669	0.00000000	0.00000000	0.00000000	0.00000000	0.00011450	0.00000000	0.00000000	0.00012465	0.00012120	0.00000000	0.00077452	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00350855	0.00000000	0.00000000	0.00000000	0.00000000	0.00017838	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00030831	0.00000000	0.00043363	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00048017	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00181875	0.00020691	0.00000000	0.00000000	0.00314590	0.00000000	0.00022854	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00035207	0.00000000	0.00000000	0.00005433	0.00000000	0.00000000	0.00000000	0.00023684	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Akkermansia	0.00000000	0.08661193	0.00139497	0.08202088	0.05713319	0.00000000	0.00951373	0.00000000	0.02224861	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00904622	0.00658902	0.08861871	0.03942594	0.00000000	0.04993203	0.00000000	0.02275938	0.00000000	0.00000000	0.00000000	0.00000000	0.00535082	0.00000000	0.00567060	0.06223043	0.01006232	0.00000000	0.00000000	0.00000000	0.01190944	0.00000000	0.00000000	0.01300218	0.00075549	0.00000000	0.02007527	0.00000000	0.01052038	0.10942972	0.00000000	0.01566960	0.00000000	0.00128910	0.03457906	0.00000000	0.00000000	0.00064527	0.04235177	0.00000000	0.00009685	0.00000000	0.00591379	0.00000000	0.00636650	0.00000000	0.00750939	0.00022716	0.00000000	0.00149295	0.05606246	0.00000000	0.00000000	0.00000000	0.00000000	0.00566991	0.01401371	0.00000000	0.00000000	0.06762758	0.01735651	0.08059633	0.00386143	0.00000000	0.00000000	0.24061404	0.00545447	0.00458016	0.00327866	0.02349168	0.00000000	0.02752426	0.00000000	0.02246294	0.01938490	0.03328311	0.00000000	0.01460944	0.00000000	0.02737807	0.00745565	0.00000000	0.00000000	0.17056814	0.00000000	0.00625294	0.00000000	0.03094541	0.19552457	0.00000000	0.00000000	0.05542889	0.00000000	0.00000000	0.08175783	0.00097319	0.01964975	0.00000000	0.00000000	0.00000000	0.09281312	0.00000000	0.01113421	0.03534572	0.04551681	0.02350663	0.14444105	0.00828171	0.00236688	0.00000000	0.00000000	0.00893712	0.00434353	0.00000000	0.01089857	0.09040274	0.01927583	0.00012677	0.01507654	0.00459855	0.00000000	0.00819986	0.12986281	0.00010965	0.00138347	0.00000000	0.00000000	0.00749162	0.00019561	0.00000000	0.00000000	0.00000000	0.01815832	0.00011281	0.03603471	0.00000000	0.00000000	0.00000000	0.00000000	0.00027687	0.02429957	
Alistipes	0.00000000	0.00026890	0.00023605	0.00134660	0.01220401	0.00000000	0.01859115	0.00100022	0.00027458	0.00612652	0.00000000	0.00136805	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.03021925	0.04946640	0.00772853	0.00336313	0.01484136	0.00266653	0.00241603	0.00000000	0.00402182	0.00000000	0.00000000	0.04459779	0.00608220	0.02594086	0.02808795	0.00000000	0.00076193	0.00000000	0.01470564	0.00853297	0.00000000	0.00000000	0.00050106	0.01433600	0.03117284	0.02925405	0.00037815	0.00215885	0.00052930	0.01728975	0.00000000	0.01079069	0.00063687	0.00000000	0.00000000	0.01462696	0.00074812	0.00000000	0.00484268	0.00000000	0.00757456	0.00000000	0.01508008	0.03797350	0.01912415	0.00036095	0.00000000	0.00000000	0.08790190	0.00511575	0.02096992	0.00000000	0.00032501	0.00000000	0.00148707	0.00030257	0.00042847	0.03826880	0.02557362	0.02289625	0.04110550	0.06771517	0.00000000	0.00253421	0.00085983	0.04689879	0.00409250	0.00038813	0.00000000	0.00888676	0.00000000	0.00000000	0.00141169	0.00950832	0.00000000	0.00051295	0.00032440	0.02212030	0.03543215	0.00000000	0.00000000	0.01216940	0.00000000	0.01655324	0.00783822	0.01159292	0.05443288	0.05815215	0.00579442	0.05689785	0.00000000	0.05114039	0.02466359	0.00168979	0.01805195	0.01611771	0.00946106	0.00000000	0.00678450	0.00627536	0.06301628	0.01941771	0.01602458	0.00065283	0.00429628	0.00376137	0.01796543	0.00000000	0.01281735	0.06245716	0.00000000	0.00188328	0.02405411	0.04101389	0.08096284	0.01028845	0.00081293	0.02092038	0.00000000	0.04829297	0.00851670	0.03522165	0.03130615	0.01061654	0.03527038	0.01347808	0.00000000	0.00290900	0.00000000	0.00038156	0.00442343	0.02235757	0.06176962	0.01688380	0.00000000	0.01176307	0.01156695	0.05899654	0.03002523	
Alkaliphilus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00018953	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00019110	0.00000000	0.00024173	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00053450	0.00000000	0.00000000	0.00000000	0.00021958	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00030895	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00024890	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00012284	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00028211	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00023191	0.00000000	0.00000000	0.00000000	0.00000000	0.00021562	0.00000000	0.00000000	0.00022993	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00016861	
Alloprevotella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00050429	0.00000000	0.00000000	0.00000000	0.00000000	0.00068803	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00143584	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00232181	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00628870	0.00000000	0.00000000	0.00000000	0.00000000	0.00021926	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00106655	0.00000000	0.00000000	0.00025782	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00018243	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00036904	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00284230	0.00000000	0.00000000	0.00012909	0.00032839	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00054808	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00184893	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00126047	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00194738	0.00000000	0.00094535	0.00000000	0.00671697	0.00011865	0.00000000	0.00006125	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00034887	
Anaerococcus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00013088	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00151793	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
