ID	D.MH0001	D.MH0002	D.MH0003	D.MH0004	D.MH0005	D.MH0006	D.MH0007	D.MH0008	D.MH0009	D.MH0010	D.MH0011	D.MH0012	D.MH0013	D.MH0014	D.MH0015	D.MH0016	D.MH0017	D.MH0018	D.MH0019	D.MH0020	D.MH0021	D.MH0022	D.MH0023	D.MH0024	D.MH0025	D.MH0026	D.MH0027	D.MH0028	D.MH0030	D.MH0031	D.MH0032	D.MH0033	D.MH0034	D.MH0035	D.MH0036	D.MH0037	D.MH0038	D.MH0039	D.MH0040	D.MH0041	D.MH0042	D.MH0043	D.MH0044	D.MH0045	D.MH0046	D.MH0047	D.MH0048	D.MH0049	D.MH0050	D.MH0051	D.MH0052	D.MH0053	D.MH0054	D.MH0055	D.MH0056	D.MH0057	D.MH0058	D.MH0059	D.MH0060	D.MH0061	D.MH0062	D.MH0063	D.MH0064	D.MH0065	D.MH0066	D.MH0067	D.MH0068	D.MH0069	D.MH0070	D.MH0071	D.MH0072	D.MH0073	D.MH0074	D.MH0075	D.MH0076	D.MH0077	D.MH0078	D.MH0079	D.MH0080	D.MH0081	D.MH0082	D.MH0083	D.MH0084	D.MH0085	D.MH0086	
Acetivibrio	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020671	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00016974	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00027519	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00025987	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Acholeplasma	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00019174	0.00000000	0.00000000	0.00038963	0.00000000	0.00000000	0.00084894	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00085694	0.00000000	0.00067163	0.00000000	0.00000000	0.00000000	0.00000000	0.00063750	0.00000000	0.00000000	0.00000000	0.00000000	0.00096441	0.00000000	0.00000000	0.00099712	0.00000000	0.00067552	0.00000000	0.00092250	0.00055069	0.00029131	0.00000000	0.00000000	0.00000000	0.00052317	0.00000000	0.00000000	0.00070010	0.00000000	0.00000000	0.00164426	0.00000000	0.00000000	0.00000000	0.00019788	0.00000000	0.00000000	0.00000000	0.00000000	0.00076730	0.00000000	0.00171277	0.00094700	0.00000000	0.00000000	0.00017053	0.00225870	0.00028306	0.00000000	0.00000000	0.00000000	0.00036463	0.00063570	0.00000000	0.00000000	0.00000000	0.00000000	0.00251191	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Acidaminococcus	0.00100438	0.00000000	0.00000000	0.00000000	0.00000000	0.00046673	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00024795	0.00000000	0.00000000	0.00000000	0.00042968	0.00000000	0.00000000	0.00000000	0.00038469	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00102642	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00127004	0.00000000	0.00030094	0.00000000	0.01267651	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00034414	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00045638	0.00000000	0.00000000	0.00036848	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00035851	0.00000000	0.01866650	0.00000000	0.00000000	0.00000000	
Acinetobacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00049234	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Akkermansia	0.00000000	0.02032790	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00369335	0.00000000	0.01117901	0.01069602	0.04059986	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.05305100	0.00000000	0.00000000	0.01004150	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01249443	0.00000000	0.01814266	0.00000000	0.00000000	0.00310659	0.00000000	0.00038485	0.00319497	0.00000000	0.00000000	0.00000000	0.00000000	0.00130473	0.00000000	0.00395300	0.00000000	0.00000000	0.00000000	0.02871535	0.00000000	0.00000000	0.00000000	0.00250294	0.00684229	0.03853558	0.00000000	0.00000000	0.00000000	0.00047334	0.00000000	0.02186701	0.00000000	0.00000000	0.00000000	0.00000000	0.00897905	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Alistipes	0.00098822	0.08588170	0.03124557	0.00805417	0.00000000	0.04992424	0.00135069	0.06146534	0.02377791	0.01658613	0.02348492	0.03282172	0.02487705	0.04823127	0.05487686	0.01626887	0.04882290	0.00000000	0.09950936	0.03784464	0.04985651	0.01034846	0.00298180	0.05733037	0.03165164	0.01113532	0.06787246	0.06969406	0.00279092	0.00597543	0.05620290	0.02192099	0.01589280	0.00932405	0.05489727	0.01673220	0.01001266	0.04111225	0.06066280	0.03439296	0.04980915	0.07139090	0.01508524	0.00164690	0.01240887	0.02370062	0.03798038	0.00231746	0.02997219	0.06268387	0.03807003	0.00148122	0.07990129	0.01258981	0.03833823	0.02448915	0.03262566	0.03222990	0.03445122	0.03548503	0.05684097	0.00101043	0.04974808	0.01999313	0.05703009	0.01917458	0.04676118	0.04104649	0.02120926	0.03025818	0.00368996	0.00353321	0.01620143	0.02770907	0.01021227	0.02774339	0.00000000	0.01547200	0.02063975	0.03845250	0.02412236	0.06194665	0.00242608	0.02848695	0.01399501	
Alkaliphilus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00013592	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00016254	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Alloprevotella	0.00000000	0.00000000	0.00000000	0.00746274	0.00400789	0.00662806	0.00000000	0.00000000	0.00427838	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00854269	0.00000000	0.00112216	0.00000000	0.00000000	0.00000000	0.00333525	0.00172053	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00045407	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00449034	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01182704	0.00060541	0.00000000	0.00250057	0.00349826	0.00998397	0.00000000	0.00054519	0.00000000	0.00000000	0.00000000	0.00153682	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00350994	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Anaerostipes	0.00000000	0.00016393	0.00000000	0.00000000	0.00000000	0.00040373	0.00000000	0.00000000	0.00000000	0.00000000	0.00018639	0.00012187	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00048663	0.00000000	0.00000000	0.00000000	0.00000000	0.00033047	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00028584	0.00000000	0.00000000	0.00050729	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00017146	0.00000000	0.00039459	0.00000000	0.00024231	0.00000000	0.00000000	0.00000000	0.00068629	0.00000000	0.00000000	0.00000000	0.00034562	0.00000000	0.00000000	0.00021523	0.00000000	0.00000000	0.00000000	0.00024046	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00035220	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00051886	
Anaerotruncus	0.00000000	0.00077278	0.00180734	0.00000000	0.00000000	0.00094702	0.00000000	0.00000000	0.00109547	0.00000000	0.00120814	0.00129145	0.00326719	0.00113076	0.00122019	0.00055187	0.00000000	0.00000000	0.00000000	0.00033138	0.00033788	0.00000000	0.00000000	0.00059970	0.00116241	0.00065972	0.00000000	0.00048946	0.00106569	0.00060413	0.00000000	0.00093741	0.00000000	0.00058342	0.00064006	0.00093190	0.00000000	0.00059549	0.00130734	0.00052677	0.00122704	0.00105129	0.00045766	0.00047859	0.00000000	0.00000000	0.00098400	0.00000000	0.00061835	0.00000000	0.00048094	0.00105863	0.00130462	0.00056907	0.00128974	0.00000000	0.00050891	0.00047372	0.00107127	0.00064420	0.00063759	0.00134615	0.00066492	0.00070947	0.00141273	0.00044272	0.00059287	0.00128389	0.00060921	0.00109061	0.00050058	0.00033029	0.00079875	0.00115928	0.00047794	0.00056210	0.00000000	0.00079125	0.00074226	0.00094421	0.00043673	0.00087596	0.00000000	0.00047488	0.00053697	
