ID	E.SRR341616	E.SRR341617	E.SRR341618	E.SRR341619	E.SRR341620	E.SRR341621	E.SRR341622	E.SRR341623	E.SRR341624	E.SRR341625	E.SRR341626	E.SRR341627	E.SRR341628	E.SRR341629	E.SRR341630	E.SRR341631	E.SRR341632	E.SRR341633	E.SRR341634	E.SRR341635	E.SRR341636	E.SRR341637	E.SRR341638	E.SRR341639	E.SRR341640	E.SRR341641	E.SRR341642	E.SRR341643	E.SRR341644	E.SRR341645	E.SRR341646	E.SRR341647	E.SRR341648	E.SRR341649	E.SRR341650	E.SRR341651	E.SRR341652	E.SRR341653	E.SRR341690	E.SRR341691	E.SRR341692	E.SRR341693	E.SRR341694	E.SRR341695	E.SRR341696	E.SRR341697	E.SRR341698	E.SRR341699	E.SRR341700	E.SRR341701	E.SRR341702	E.SRR341703	E.SRR341704	E.SRR341705	E.SRR341706	E.SRR341707	E.SRR341708	E.SRR341709	E.SRR341710	E.SRR341711	E.SRR341712	E.SRR341713	E.SRR341714	E.SRR341715	E.SRR341716	E.SRR341717	E.SRR341718	E.SRR341719	E.SRR341720	E.SRR341721	E.SRR341722	E.SRR341723	x
Acidaminococcus	0	0	0	0	0	0	0	0	0.00217882	0	0	0	0	0	0	0	0.00019679	0.00042894	0	0.00106286	0	0	0	0	0.00045582	0.00051374	0	0	0.00035521	0	0.00039925	0.00082201	0.00106912	0	0	0	0	0	0	0.00029069	0	0.000423	0.00046864	0	0	0.00043605	0.00031596	0	0	0	0	0	0	0.00049618	0	0	0.00030337	0.00062566	0	0	0	0	0	0	0	0.0009131	0	0	0	0	0	0	
Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00027287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Akkermansia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00987404	0	0	0	0	0	0	0	0	0	0	0	0.01674007	0	0	
Alistipes	0.02196818	0	0.00394233	0	0.00226983	0.03867606	0.00097112	0.00220009	0	0	0.00329024	0.01271678	0	0	0.03151834	0	0	0.01984174	0.00159263	0.06478615	0	0.03277856	0.00082155	0.00126937	0.00122882	0.01566599	0.00142273	0.03721224	0	0.00328637	0.00169211	0.01625988	0.05399656	0	0.00435667	0	0	0	0.01615441	0.02801216	0.00389001	0	0	0	0.010641	0	0.01383679	0.04469596	0.00819069	0.00066835	0.0234229	0	0	0.01446017	0.00126669	0.01143829	0.01230239	0.05657657	0.0336572	0.05101995	0	0	0.00199089	0	0.02531148	0	0.02526264	0.00204254	0.00292619	0.05332422	0.02140018	0	
Alloprevotella	0	0	0	0	0	0	0	0	0	0.01020127	0	0	0	0.00767313	0	0.00663947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Anaerostipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004057	0	0	0.00103786	0.00036188	0	0.00033738	0	0	0	0	0	0	0	0	0	0	0	0.00215476	0.00057308	0	0	0.00038167	0	0	0	0	0	0.00091536	0	0.00078288	0	0	0	0	0	0	0	0	
Anaerotruncus	0	0	0	0	0.00053378	0	0	0	0	0	0	0	0	0	0.00120087	0	0	0	0	0	0	0	0	0	0	0.00044693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00046894	0	0	0.00083657	0	0	0.00046622	0	0	0	0.00147025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacillus	0	0	0.000718	0	0.00240728	0	0	0	0	0	0	0	0	0	0	0	0	0.00039129	0	0	0	0	0	0	0	0	0	0.00086818	0	0.00081998	0	0	0	0	0	0	0.00086231	0	0	0.00057198	0	0	0	0.00037388	0	0	0	0	0	0	0.00094425	0	0	0.00068584	0	0.00094677	0	0.00042621	0	0	0	0	0	0.00057139	0	0	0	0	0	0	0	0	
Bacteroides	0.58878613	0.5152038	0.31900335	0.31220307	0.24020258	0.60383158	0.76225924	0.46660205	0.70977515	0.24499864	0.67922891	0.60684196	0.2308583	0.07969026	0.41336306	0.08572425	0.56977545	0.56710557	0.07116399	0.3227136	0.55283113	0.50776855	0.71247269	0.5234707	0.73429757	0.71373827	0.58561685	0.23362929	0.66579249	0.23174062	0.69572229	0.16248018	0.27606618	0.41936246	0.3149962	0.64089423	0.16571462	0.60318407	0.56174225	0.51469721	0.43120061	0.78652232	0.17815514	0.0579841	0.47397241	0.47691173	0.40859336	0.47567342	0.30959824	0.3048002	0.27113289	0	0.37441786	0.26730748	0.51230688	0.20829084	0.53576406	0.46218526	0.42111496	0.39607476	0.06863761	0.20097534	0.19225721	0.11301997	0.53538912	0.61503304	0.64820828	0.6389014	0.05713716	0.19256993	0.25033885	0.56399016	
Barnesiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00075136	0	0	0	0	0	0	0.00047838	0	0	0	0	0.00631395	0.0225013	0	0	0	0	0	0.00156832	0	0	0	0	0	0.01769217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00527037	0	0	
Bifidobacterium	0	0	0	0	0	0	0	0	0.02250469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00135625	0	0	0	0	0	0	0	0	0.0183183	0	0	0	0.00095086	0	0	0	0	0.00063555	0.00833711	0	0	0	0	0	0	0	0	0	0	
Bilophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00425946	0	0	0	0.00018971	0	0	0	0	0	0	0	0	0	0	0	0	0.00045283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blautia	0.00141678	0.00243295	0.0013836	0	0.00230248	0.00089875	0	0.00246813	0	0.00104262	0	0	0.0037479	0	0.00105259	0	0.00240371	0.00166475	0.00093466	0.00167933	0.00188259	0.00138971	0.00058231	0.00155774	0	0.00094235	0.00126478	0.00537395	0.00297431	0.00138126	0	0.00219687	0.00284456	0.00286847	0.00068533	0.0010199	0.00735631	0.00200419	0.00030994	0.00251225	0.00160787	0.00034722	0.0005188	0.00215975	0.00478143	0.00428278	0.00159994	0.00171455	0.00171881	0	0.00456389	0.03428832	0.00720997	0.00209912	0.00170019	0.00650111	0.00292257	0.00099456	0.00201046	0.00096185	0.00215556	0.00784135	0.01487881	0.03925242	0.00195675	0.00378072	0	0.00103239	0.0008323	0.00195151	0.00034869	0.00088327	
Butyricicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00043935	0	0	0	0	0	0.00046468	0.00081723	0	0	0	0	0	0	0	0	
Butyricimonas	0	0	0	0	0	0	0	0	0	0	0.00465332	0	0	0	0	0	0.00014472	0.00022021	0	0.00067967	0	0	0	0	0.00119453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00029408	0	0	0	0	0	0	0	0	0	0	0	0	0.00107437	0	0	0	0	0	0	0	0	0	0	0	0	
Butyrivibrio	0.00138703	0.00117601	0.0031647	0	0.0026902	0.00157135	0.00044602	0.00231123	0	0.00137684	0	0	0.00579619	0	0.00176422	0	0.00558957	0.00042918	0.00057473	0.00058749	0.00131347	0.00147262	0.0003164	0.0010302	0	0	0.00098255	0.00290757	0	0.00296888	0	0.00207689	0.00106926	0.00175643	0	0.00110113	0.00134956	0.00081213	0	0.00069464	0.00328816	0	0	0.00144753	0	0	0.00090681	0.00139357	0.00226438	0	0.00188568	0.00040169	0.00126663	0.00203952	0.00084018	0.00225539	0.00079226	0.00077957	0.0013257	0	0.00098541	0.00435188	0.00160035	0.00175912	0.00098466	0	0	0.00111568	0.00084604	0.00130042	0	0.00058098	
Catenibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00769531	0	0	0	0	0	0	0	0.00041335	0	0	0	0.00150286	0	0	0	0	0	0	0.00091453	0.00075453	0	0	0	0	0	0	0	0	
Citrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Clostridium	0.00476365	0.00714189	0.0106847	0.00586258	0.03121074	0.00748239	0.00213206	0.02079776	0.00400412	0.00844887	0	0.00510635	0.01031459	0.00339237	0.0093802	0.00158905	0.00806207	0.00377116	0.00475856	0.0160426	0.00889786	0.01292138	0.00340084	0.00450903	0.00160992	0.00820917	0.0049322	0.01589826	0.01154829	0.02807338	0.00353458	0.04009462	0.01667433	0.00836161	0.00225732	0.0017471	0.05818576	0.00496414	0.00163856	0.00611119	0.02795115	0.00183135	0.00229431	0.00741286	0.00669398	0.00925491	0.00942177	0.02948525	0.00817792	0.00094127	0.01956086	0.00783084	0.0099054	0.01944501	0.00776589	0.01622304	0.00691211	0.01713077	0.00442134	0.03362562	0.00372502	0.01701643	0.00743794	0.00775926	0.01300007	0.01757764	0.00348981	0.01806835	0.01690374	0.0183107	0.00149118	0.00496957	
Collinsella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00054535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009909	0	0	0	0	0.00071891	0	0	0	0	0	0	0.00107868	0	0	0	0	0	0	0	0	
Coprobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00071848	0.0007689	0	0	0.0035954	0.00036342	0	0	0.00105696	0	0.00030373	0.00212943	0.00236602	0	0	0	0	0	0	0	0	
