ID	F.S001	F.S003	F.S024	F.S025	F.S026	F.S027	F.S030	F.S039	F.S040	F.S051	F.S052	F.S053	F.S054	F.S060	F.S105	F.S110	F.S113	F.S115	F.S116	F.S118	F.S121	F.S125	F.S129	F.S132	F.S139	F.S142	F.S152	F.S156	F.S161	F.S162	F.S166	F.S169	F.S170	F.S173	F.S187	F.S191	F.S192	F.S193	F.S194	F.S195	F.S196	F.S198	F.S200	F.S208	F.S211	F.S212	F.S213	F.S214	F.S215	F.S218	F.S221	F.S223	F.S229	F.S241	F.S249	F.S268	F.S275	F.S276	F.S281	F.S282	F.S293	F.S294	F.S298	F.S302	F.S305	F.S310	F.S312	F.S316	F.S328	F.S344	F.S349	F.S376	F.S382	F.S390	F.S393	F.S398	F.S399	F.S400	F.S404	F.S414	F.S419	F.S430	F.S449	F.S450	F.S451	F.S459	F.S460	F.S473	F.S474	F.S495	F.S496	F.S500	F.S503	F.S504	F.S505	F.S506	F.S507	F.S510	F.S539	F.S542	F.S548	F.S551	F.S552	F.S558	F.S568	F.S596	F.S606	F.S617	F.S626	F.S628	F.S643	F.S652	F.S654	F.S664	F.S666	F.S667	F.S672	F.S682	F.S684	F.S696	F.S716	F.S719	F.S721	F.S722	F.S723	F.S726	F.S728	F.S730	F.S734	F.S751	F.S759	F.S767	F.S768	F.S770	F.S772	F.S780	F.S783	F.S788	F.S790	F.S792	F.S812	F.S815	F.S817	F.S820	F.S823	F.S824	F.S825	F.S826	F.S827	F.S828	F.S829	F.S830	F.S835	F.S901	F.S902	
Acetivibrio	0.00000000	0.00000000	0.00000000	0.00000000	0.00026045	0.00000000	0.00026329	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00029918	0.00000000	0.00038003	0.00000000	0.00000000	0.00000000	0.00024462	0.00000000	0.00066059	0.00013454	0.00000000	0.00000000	0.00042150	0.00044458	0.00000000	0.00000000	0.00000000	0.00032976	0.00039394	0.00000000	0.00029612	0.00070061	0.00031323	0.00000000	0.00000000	0.00023703	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00036572	0.00013322	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00013999	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00030862	0.00035421	0.00061999	0.00000000	0.00000000	0.00000000	0.00021847	0.00000000	0.00000000	0.00028888	0.00000000	0.00000000	0.00000000	0.00000000	0.00041335	0.00037726	0.00015284	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00012223	0.00000000	0.00000000	0.00053261	0.00000000	0.00000000	0.00000000	0.00000000	0.00030136	0.00000000	0.00081560	0.00000000	0.00023627	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00023945	0.00035296	0.00038029	0.00000000	0.00000000	0.00024871	0.00000000	0.00000000	0.00000000	0.00019000	0.00026349	0.00017927	0.00000000	0.00000000	0.00000000	0.00000000	0.00032582	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00028425	0.00018937	0.00000000	0.00000000	0.00026416	0.00000000	0.00029778	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00023342	0.00000000	0.00000000	0.00032114	0.00024791	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Acetobacterium	0.00000000	0.00000000	0.00000000	0.00000000	0.00019348	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020233	0.00000000	0.00000000	0.00000000	0.00023031	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020805	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00015824	0.00024121	0.00000000	0.00000000	0.00000000	0.00000000	0.00024508	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00019464	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00019615	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00036429	0.00021910	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00026483	0.00000000	0.00000000	0.00000000	0.00000000	0.00015277	0.00000000	0.00000000	0.00000000	0.00029744	0.00000000	0.00000000	0.00000000	0.00000000	0.00015476	0.00000000	0.00000000	0.00000000	0.00000000	0.00020150	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00025846	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00012293	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020612	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Acholeplasma	0.00041040	0.00000000	0.00000000	0.00000000	0.00063193	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00093099	0.00000000	0.00000000	0.00000000	0.00000000	0.00098898	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00145593	0.00000000	0.00000000	0.00000000	0.00140998	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00043961	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00069240	0.00000000	0.00000000	0.00000000	0.00016030	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00043290	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00029646	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00045099	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00024077	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00012312	0.00000000	0.00000000	0.00000000	0.00017563	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00045059	0.00016553	0.00015006	0.00000000	0.00029023	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00046656	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00039669	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Acidaminococcus	0.00000000	0.00000000	0.00000000	0.00000000	0.00012785	0.00000000	0.00000000	0.00476472	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00091796	0.00000000	0.00058670	0.00000000	0.00030332	0.00000000	0.01826054	0.00051724	0.00000000	0.01268011	0.00000000	0.00000000	0.00000000	0.00000000	0.00067477	0.01307157	0.00062667	0.00000000	0.00000000	0.00000000	0.00034639	0.00041824	0.00000000	0.00000000	0.00000000	0.00057702	0.00000000	0.00000000	0.00043364	0.00287189	0.00000000	0.00022660	0.00000000	0.00000000	0.00000000	0.00035968	0.02703341	0.00956281	0.00000000	0.00025436	0.00057786	0.00036896	0.00000000	0.00000000	0.00000000	0.00000000	0.00660875	0.00017319	0.00032170	0.00165984	0.00125155	0.00000000	0.00000000	0.00017144	0.00024306	0.00000000	0.00499758	0.00000000	0.00000000	0.00000000	0.00156936	0.00000000	0.00000000	0.00000000	0.00000000	0.00158879	0.00000000	0.00000000	0.01124998	0.00023575	0.00000000	0.00451227	0.00000000	0.00054135	0.00000000	0.00000000	0.00000000	0.00048383	0.00083804	0.00107728	0.00024185	0.00000000	0.00000000	0.01273536	0.00016071	0.00871580	0.00000000	0.00030285	0.00030597	0.00155048	0.00046439	0.00000000	0.00000000	0.00000000	0.00037592	0.00000000	0.00029481	0.00014751	0.00023429	0.00039971	0.00000000	0.00000000	0.00000000	0.00017311	0.00000000	0.00016289	0.00039074	0.00026644	0.00138956	0.00000000	0.00000000	0.00000000	0.00000000	0.00088544	0.00000000	0.00030193	0.00020337	0.01275761	0.00000000	0.00000000	0.00030455	0.01419976	0.00021327	0.00000000	0.00000000	0.00000000	0.00031552	0.00055121	0.00193783	0.00000000	0.00000000	0.00000000	0.00658598	0.00533741	0.00000000	0.00000000	0.00000000	0.00000000	0.13136194	0.00000000	
Actinomyces	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00008774	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00006903	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00358653	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Akkermansia	0.02165825	0.00000000	0.00000000	0.00000000	0.00000000	0.00398147	0.01344795	0.00300805	0.00000000	0.00000000	0.00000000	0.00000000	0.01750708	0.00000000	0.00000000	0.02058339	0.00000000	0.00824450	0.00000000	0.00000000	0.00343284	0.00835066	0.00000000	0.01722040	0.00000000	0.00000000	0.00000000	0.00000000	0.01016923	0.00328673	0.00811817	0.00458955	0.00000000	0.08141838	0.00000000	0.00348990	0.01536821	0.00000000	0.00000000	0.00000000	0.00000000	0.04586926	0.08114364	0.00000000	0.00000000	0.00894132	0.00338530	0.00000000	0.00000000	0.01703485	0.00000000	0.01964945	0.00000000	0.00000000	0.00729988	0.04895196	0.00000000	0.00723699	0.00000000	0.00000000	0.06272178	0.00495672	0.01024502	0.01575442	0.00000000	0.04516342	0.01118870	0.00459976	0.00000000	0.01398832	0.00000000	0.00000000	0.00000000	0.00000000	0.01940421	0.00000000	0.00000000	0.00805276	0.00000000	0.01640776	0.08995801	0.00000000	0.01801684	0.00000000	0.00361588	0.00000000	0.01007783	0.00000000	0.01814081	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01591505	0.00000000	0.00374915	0.00044268	0.06608276	0.00000000	0.00018651	0.04616458	0.00000000	0.00657039	0.00000000	0.00000000	0.01011856	0.00000000	0.00000000	0.00000000	0.01290573	0.14928450	0.01124685	0.01318214	0.00401443	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00274028	0.00000000	0.03343799	0.00574401	0.00811431	0.00000000	0.00000000	0.00000000	0.00233687	0.00000000	0.10927692	0.00000000	0.09508759	0.00000000	0.01497796	0.00000000	0.00524415	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06845487	0.06291211	0.04513810	0.01024644	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Alistipes	0.01997701	0.01040554	0.03157457	0.01739881	0.00596490	0.00988179	0.05241061	0.01690514	0.01362685	0.00066853	0.00249693	0.00900457	0.04251138	0.01983261	0.02229370	0.00299224	0.01533480	0.00000000	0.00405219	0.00197740	0.02065500	0.00176191	0.02470870	0.02291008	0.01684442	0.00051594	0.00997645	0.00679996	0.00125660	0.01595273	0.01699145	0.00792130	0.00079632	0.00000000	0.00815275	0.00185405	0.02132729	0.00000000	0.00029747	0.04225006	0.01192909	0.03215041	0.00340425	0.00174303	0.02024105	0.04628459	0.03479434	0.04520598	0.00000000	0.00988369	0.00434380	0.11128720	0.00062209	0.03925076	0.01874302	0.00050945	0.05319641	0.00599402	0.05829440	0.02400791	0.03922036	0.00782904	0.02193072	0.01240111	0.00108409	0.00184677	0.00487786	0.00042040	0.00835844	0.07594241	0.00632091	0.00225740	0.00568291	0.00000000	0.02164091	0.00675383	0.00486242	0.01907086	0.05534493	0.00829598	0.02984998	0.00185481	0.05978261	0.00592106	0.04233314	0.02116625	0.01942036	0.00065896	0.04450534	0.04211557	0.04542495	0.02066141	0.04631672	0.02687629	0.07930335	0.00570945	0.01352976	0.01675145	0.01335304	0.00716704	0.04493141	0.04175124	0.01898779	0.02700490	0.00398341	0.00350899	0.03612691	0.00019199	0.01124997	0.00024595	0.00750942	0.00739274	0.01024580	0.01152257	0.00369409	0.02683006	0.02165726	0.00145921	0.01608192	0.00256756	0.02006013	0.00705577	0.01210553	0.00206283	0.01582987	0.04216206	0.01263137	0.00114329	0.03713384	0.00302991	0.01292881	0.07417252	0.02120344	0.02197625	0.00157397	0.03826025	0.00711518	0.04219175	0.01678009	0.03159910	0.01614570	0.02396005	0.03910935	0.01741693	0.00000000	0.01243601	0.03362905	0.01556365	0.04403336	0.01860145	0.00602354	0.00000000	0.02079616	0.00000000	0.03266608	
Alkaliphilus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00018139	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00017277	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00019247	0.00000000	0.00000000	0.00000000	0.00011494	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00018072	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00019305	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00027703	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Alloprevotella	0.00000000	0.00000000	0.00000000	0.00000000	0.00648574	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01294263	0.00731379	0.00000000	0.00000000	0.00000000	0.00023520	0.00000000	0.00000000	0.00071051	0.00000000	0.00000000	0.00223693	0.00000000	0.00082881	0.00149180	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00050849	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00148908	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00077904	0.00000000	0.00000000	0.00000000	0.00000000	0.00051057	0.00000000	0.00026650	0.00032566	0.00000000	0.00000000	0.00000000	0.00057715	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00083769	0.00978328	0.00000000	0.00000000	0.00000000	0.00015538	0.00000000	0.00000000	0.00000000	0.00864318	0.00072966	0.00000000	0.00000000	0.00000000	0.00000000	0.01175685	0.00000000	0.00000000	0.00000000	0.00208369	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00202235	0.00000000	0.00209858	0.00035150	0.00000000	0.00140016	0.00000000	0.00163934	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.02354919	0.00000000	0.00000000	0.00059542	0.00000000	0.00000000	0.00000000	0.00000000	0.00523422	0.00000000	0.00000000	0.00567262	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00194430	0.00011758	0.00447830	0.00000000	0.00000000	0.00000000	0.00000000	0.00780161	0.00000000	0.00000000	0.00320139	0.00182170	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01001419	0.00000000	0.00000000	0.00000000	0.00000000	
Anaerococcus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00072183	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
