ID	J.AP01	J.AP02	J.AP03	J.AP05	J.AP06	J.AP07	J.AP08	J.AP09	J.AP10	J.AP11	J.AP12	J.AP15	J.AP16	J.AP17	J.AP18	J.AP19	J.AP21	J.AP22	J.AP23	J.AP24	J.AP25	J.AP26	J.AP27	J.AP28	J.AP30	J.AP31	J.AP32	J.AP33	J.AP34	J.AP35	J.AP36	J.AP37	J.AP38	J.AP39	J.AP40	J.FA01	J.FA02	J.FA03	J.FA05	J.FA06	J.FA07	J.FA08	J.FA09	J.FA10	J.FA11	J.FA12	J.FA13	J.FA14	J.FA15	J.FA16	J.FA17	J.FA18	J.FA19	J.FA21	J.FA22	J.FA23	J.FA24	J.FA25	J.FA26	J.FA27	J.FA28	J.FA29	J.FA30	J.FB01	J.FB02	J.FB04	J.FB05	J.FB06	J.FB07	J.FB08	J.FB09	J.FB10	J.FM01	J.FM02	J.FM03	J.FM04	J.FM11	J.FM14	J.FM21	J.FP01	J.FP02	J.FP03	J.FP04	J.FP05	J.FT01	J.FT02	J.FT03	J.FT06	J.FT07	J.FT08	J.FT09	J.FT10	J.FT12	J.FT13	J.FT14	J.FT15	J.FT16	J.FT17	J.FT18	J.FT19	J.FT20	J.FT21	J.TS11	J.TS21	J.TS29	J.TS33	J.TS41	
Acetivibrio	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00049003	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Acidaminococcus	0.00000000	0.00000000	0.00017575	0.00038493	0.00000000	0.00000000	0.00000000	0.00000000	0.00031147	0.00131285	0.00000000	0.00000000	0.00000000	0.00060197	0.00085881	0.00000000	0.02216357	0.00000000	0.00000000	0.00000000	0.00542214	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00265268	0.00000000	0.00000000	0.00615068	0.00077398	0.05082973	0.00064899	0.00055652	0.00041094	0.00660356	0.00079612	0.02004762	0.00000000	0.01042809	0.00000000	0.00035813	0.00123223	0.00124381	0.04404201	0.00000000	0.01958267	0.01738291	0.00761320	0.00131451	0.00055573	0.00104856	0.00104791	0.00070359	0.02439480	0.00000000	0.00183327	0.00000000	0.00125537	0.00050939	0.00000000	0.00000000	0.03662813	0.00085357	0.03583354	0.00042231	0.03112169	0.00000000	0.00000000	0.00036938	0.00000000	0.00000000	0.00098990	0.00223436	0.00000000	0.00027908	0.00244621	0.00000000	0.00000000	0.00000000	0.02689383	0.04871193	0.00000000	0.00096518	0.02540959	0.00000000	0.00000000	0.00000000	0.00000000	0.00721014	0.00182489	0.00083490	0.00000000	0.01393658	0.00100217	0.00000000	0.00000000	0.00000000	0.00138730	0.00080002	0.00000000	0.00265655	0.00000000	0.00000000	0.00000000	
Actinomyces	0.00010330	0.00000000	0.00000000	0.00192871	0.00000000	0.00000000	0.00000000	0.00000000	0.00082459	0.00000000	0.00000000	0.00044093	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00218046	0.00106010	0.00029937	0.00017787	0.00055601	0.00005278	0.00125758	0.00000000	0.00000000	0.00000000	0.00000000	0.00040651	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00529230	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00054419	0.00000000	0.00248312	0.00000000	0.00046571	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00011854	0.00000000	0.00000000	0.00000000	0.00737574	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00014277	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Akkermansia	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00268701	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01721657	0.00000000	0.00000000	0.00015862	0.00000000	0.00000000	0.00000000	0.00000000	0.03518872	0.03522097	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00170422	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00135334	0.00000000	0.00000000	0.00035224	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00015284	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00621898	0.00000000	0.00000000	
Alistipes	0.00000000	0.00000000	0.00000000	0.00027406	0.00034607	0.00000000	0.00000000	0.00000000	0.01520549	0.01257218	0.00041589	0.00131168	0.00124649	0.00320973	0.01831620	0.00044024	0.00493286	0.00783320	0.00000000	0.00000000	0.00022610	0.00000000	0.00000000	0.00059953	0.00577129	0.00224610	0.00094790	0.00000000	0.00000000	0.00000000	0.01129488	0.00820280	0.00000000	0.00000000	0.00065104	0.00062273	0.00000000	0.00568006	0.00100819	0.00000000	0.00916620	0.00000000	0.00000000	0.01059872	0.01171876	0.00000000	0.00070444	0.02390833	0.01778257	0.00000000	0.00425530	0.00000000	0.00458453	0.00504450	0.00000000	0.00074146	0.01156723	0.01592584	0.01064664	0.01759160	0.02077011	0.00130794	0.00357211	0.00000000	0.00197023	0.00269784	0.02929703	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01111368	0.00052137	0.00399186	0.00000000	0.00075157	0.02324095	0.00000000	0.00000000	0.00133262	0.00000000	0.02424370	0.00000000	0.00000000	0.00411585	0.04133378	0.00123911	0.00000000	0.00000000	0.01270065	0.01065310	0.00581763	0.01483178	0.00039998	0.00073499	0.00480955	0.00000000	0.00994226	0.00000000	0.01923104	0.01170438	0.00000000	0.00118218	0.00362947	0.00000000	0.00510079	
Alloprevotella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00199509	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00131795	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01112053	0.00000000	0.00000000	0.00025438	0.00753218	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00590672	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00983077	0.00000000	0.00000000	0.00000000	0.00313282	0.00000000	0.00000000	0.00000000	
Anaerococcus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00025434	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Anaerostipes	0.00075333	0.00072745	0.00190471	0.00163645	0.00000000	0.00000000	0.00163339	0.00110114	0.00025145	0.00096446	0.00249326	0.00156623	0.00000000	0.00161523	0.00282662	0.00041814	0.00103312	0.00320809	0.00376671	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00238738	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00047630	0.00175113	0.00145389	0.01536560	0.00141319	0.00161919	0.00102661	0.00192428	0.00240744	0.00000000	0.00160491	0.00107248	0.00000000	0.00180014	0.00050153	0.00254691	0.00061213	0.00101752	0.00035680	0.00000000	0.00000000	0.00133457	0.00083732	0.00000000	0.00164691	0.00449978	0.00000000	0.00056770	0.00077815	0.00060649	0.00096915	0.00066771	0.00028358	0.00064762	0.00000000	0.00000000	0.00000000	0.00064508	0.00107701	0.00000000	0.00120241	0.00125031	0.00067637	0.00148540	0.00000000	0.00180972	0.00143705	0.00095832	0.00142324	0.00112709	0.00000000	0.00000000	0.00089004	0.00041194	0.00118136	0.00182120	0.00026288	0.00160914	0.00000000	0.00065984	0.00100208	0.00000000	0.00000000	0.00094261	0.00115865	0.00092815	0.00114117	0.00120962	0.00054873	0.00211658	0.00054989	0.00104613	0.00000000	0.00000000	0.00275881	0.00000000	0.00000000	
Anaerotruncus	0.00051628	0.00079878	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00087280	0.00074890	0.00036020	0.00098552	0.00093406	0.00105201	0.00034788	0.00064597	0.00064671	0.00055693	0.00098729	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00021979	0.00000000	0.00000000	0.00000000	0.00000000	0.00142349	0.00996126	0.00000000	0.00000000	0.00052110	0.00058683	0.00000000	0.00108146	0.00093559	0.00000000	0.00067298	0.00000000	0.00000000	0.00087553	0.00165150	0.00000000	0.00000000	0.00062205	0.00178544	0.00000000	0.00111844	0.00101004	0.00058649	0.00000000	0.00000000	0.00056834	0.00048406	0.00000000	0.00086904	0.00077005	0.00039022	0.00081844	0.00089804	0.00000000	0.00000000	0.00000000	0.00063044	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00079362	0.00038647	0.00095326	0.00000000	0.00035612	0.00085144	0.00000000	0.00123908	0.00000000	0.00000000	0.00000000	0.00000000	0.00088249	0.00069739	0.00233662	0.00000000	0.00000000	0.00034702	0.00104169	0.00167163	0.00209439	0.00054109	0.00000000	0.00072274	0.00042257	0.00000000	0.00066610	0.00000000	0.00180963	0.00124856	0.00000000	0.00000000	0.00108110	0.00000000	0.00000000	
Atopobium	0.00010631	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00019242	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00241700	0.00000000	0.00003044	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00041128	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00034893	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00024635	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00023937	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00457237	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00148228	0.00000000	0.00000000	0.00000000	
