ID	K.ERR247139	K.ERR247140	K.ERR247141	K.ERR247142	K.ERR247143	K.ERR247144	K.ERR247145	K.ERR247146	K.ERR247147	K.ERR247148	K.ERR247149	K.ERR247150	K.ERR247153	K.ERR247154	K.ERR247155	K.ERR247156	K.ERR247157	K.ERR247158	K.ERR247159	K.ERR247160	K.ERR247161	K.ERR247162	K.ERR247163	K.ERR247164	K.ERR247165	K.ERR247166	K.ERR247167	K.ERR247168	K.ERR247169	K.ERR247170	K.ERR247171	K.ERR247172	K.ERR247173	K.ERR247174	K.ERR247175	A.ERR247176	x
Acetivibrio	0	0	0	0	0	0.00045578	0	0	0	0	0.00022285	0.00027267	0	0	0	0	0	0	0	0	0	0.00044969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acholeplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00024415	0	0	0	0	0	0	0	0	0	0	0	0	0	
Achromobacter	0	0	0	0	0	0	0	0	0	0	0.00064915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acidaminococcus	0	0	0.00039745	0	0	0	0	0	0.0011502	0.00025833	0	0	0	0	0	0	0	0	0	0	0	0	0.00590526	0.00042747	0	0	0.00026958	0	0	0.00041484	0	0	0.00023192	0.00185455	0.00159105	0	
Acinetobacter	0	0	0	0	0	0	0	0	0	0	0.00031237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Akkermansia	0	0	0	0	0	0	0	0	0	0	0.00802034	0.00692891	0	0	0	0	0	0	0	0	0	0	0.00080068	0.00754106	0	0	0	0.00772643	0	0	0	0	0	0	0	0	
Alistipes	0	0	0.0709764	0.00064752	0.0028287	0.00319546	0.0018727	0.00057871	0.00445785	0.00075014	0.00233852	0.01568271	0.0115151	0.02188681	0	0	0.04046468	0	0.00816573	0.0263526	0.01605883	0.00497359	0.01602553	0.01824404	0.02993018	0.01605732	0.02075169	0.03509438	0.00337254	0.00135071	0.03765559	0.03700967	0	0	0.00040326	0.0398238	
Alloprevotella	0	0	0	0	0.00639117	0.00215899	0	0	0.00561624	0.00921116	0	0	0	0	0	0	0	0	0	0	0	0	0.0002675	0	0	0	0.00016142	0.00033654	0	0	0.00034422	0	0	0.00785244	0.00202065	0	
Anaerofustis	0	0	0	0	0	0.00043475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Anaerostipes	0.00071514	0.00137321	0.00029056	0.00044044	0.00783759	0.0001646	0.00205179	0.00337133	0.00080004	0.00072367	0.00132197	0.00108656	0.00081225	0.00055012	0.00317144	0	0	0.00069656	0.0039312	0.00243474	0.00092451	0.00062616	0.0001443	0.00050636	0.00030586	0.00111598	0.00070568	0.0008542	0.00029242	0	0.00076973	0.00100068	0.00300275	0.00024687	0.00063614	0.00075444	
