ID	GERC19168690	GERC21593359	GERC21703880	GERC27463710	GERC35633353	GERC42956136	GERC49461418	GERC52117727	GERC52145360	GERC59583015	GERC65222621	GERC65406197	GERC71242853	GERC71915439	GERC72690923	GERC76222476	GERC79349503	GERC89306485	GERC92404903	GERC95431029	GERC95676152	GERC98531134	GERR10032470	GERR10191450	GERR15562448	GERR17410933	GERR18579000	GERR18829815	GERR22852639	GERR23541216	GERR25475945	GERR26625622	GERR27867141	GERR28738636	GERR29706695	GERR30626189	GERR30627121	GERR31009081	GERR31134579	GERR32288175	GERR32965613	GERR35081859	GERR35801800	GERR37575804	GERR38158721	GERR39157124	GERR39882286	GERR41202658	GERR41521570	GERR45004878	GERR45812507	GERR46727384	GERR49025643	GERR49942357	GERR50300306	GERR50529145	GERR50538120	GERR51154251	GERR51228890	GERR53508245	GERR53522274	GERR54057834	GERR56948710	GERR59540613	GERR66848156	GERR67373733	GERR68973846	GERR72666896	GERR73128545	GERR74592084	GERR75147712	GERR76409700	GERR85481373	GERR85661207	GERR89107682	GERR89643949	GERR89967135	GERR93755960	GERR98198513	GERR98702133	GERR99440714	GERR99929634	
Acetivibrio	0.00000000	0.00000000	0.00022399	0.00015621	0.00019751	0.00000000	0.00000000	0.00000000	0.00020965	0.00000000	0.00024200	0.00000000	0.00012514	0.00000000	0.00029361	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00025339	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00007624	0.00000000	0.00000000	0.00021826	0.00000000	0.00014430	0.00000000	0.00000000	0.00015297	0.00000000	0.00000000	0.00019096	0.00017419	0.00000000	0.00013555	0.00000000	0.00000000	0.00024333	0.00020321	0.00012651	0.00000000	0.00000000	0.00016489	0.00014033	0.00015417	0.00010369	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00015864	0.00013263	0.00020291	0.00027785	0.00000000	0.00000000	0.00017983	0.00020186	0.00000000	0.00000000	0.00017891	0.00000000	0.00000000	0.00012384	0.00025826	0.00000000	0.00000000	0.00012900	0.00022431	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Acetobacterium	0.00000000	0.00000000	0.00022120	0.00009983	0.00021519	0.00000000	0.00000000	0.00000000	0.00017060	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00018301	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00016919	0.00010942	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00022478	0.00000000	0.00009877	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00012701	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00015870	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Acholeplasma	0.00000000	0.00000000	0.00026013	0.00031873	0.00043838	0.00000000	0.00000000	0.00000000	0.00023079	0.00000000	0.00024889	0.00000000	0.00000000	0.00000000	0.00037971	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00021939	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020839	0.00000000	0.00000000	0.00006389	0.00064829	0.00000000	0.00017166	0.00000000	0.00012630	0.00000000	0.00053378	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00179747	0.00024636	0.00019036	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00007168	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00050308	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00021983	0.00013162	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Acidaminococcus	0.00000000	0.00017216	0.00000000	0.00012267	0.00020708	0.00000000	0.00696358	0.00000000	0.00023138	0.00009762	0.00032056	0.00000000	0.00000000	0.00008108	0.00000000	0.00000000	0.00046734	0.00000000	0.00051431	0.00025546	0.00027090	0.00018281	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00035300	0.00000000	0.00029072	0.00049564	0.00019031	0.00031153	0.00000000	0.00000000	0.00033525	0.00051755	0.00000000	0.00000000	0.00000000	0.00034019	0.00021699	0.00000000	0.00000000	0.00000000	0.00000000	0.00029600	0.00000000	0.00000000	0.00000000	0.00000000	0.00018590	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00035711	0.00024094	0.00023513	0.00033919	0.00029002	0.00000000	0.00000000	0.00023816	0.00143794	0.00000000	0.00000000	0.00025405	0.00017441	0.00037135	0.00000000	0.00000000	0.00022692	0.00032844	0.00019811	0.00421831	0.00000000	0.00000000	0.04114207	0.00317138	0.00000000	
Actinomyces	0.00000000	0.00196894	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00082281	0.00000000	0.00015151	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00066034	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00035515	0.00000000	0.00000000	0.00000000	0.00011980	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Akkermansia	0.00000000	0.00000000	0.00818779	0.00367436	0.07695723	0.00000000	0.00000000	0.00540694	0.00295258	0.00000000	0.06633739	0.00000000	0.01343646	0.00000000	0.00309465	0.00000000	0.00000000	0.00008940	0.22299219	0.05894964	0.00000000	0.00231951	0.00000000	0.01145350	0.00000000	0.00000000	0.02328542	0.00479421	0.02893528	0.01761802	0.00239582	0.00316168	0.01462538	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00758033	0.00000000	0.00000000	0.01405539	0.00139027	0.00000000	0.00000000	0.00000000	0.00000000	0.00733278	0.00000000	0.01205454	0.00000000	0.00000000	0.00000000	0.00000000	0.00996500	0.00000000	0.00000000	0.00000000	0.00316525	0.00000000	0.00764791	0.00555206	0.00609333	0.00427531	0.00205341	0.00090510	0.00903638	0.00000000	0.01339085	0.00000000	0.00000000	0.01619562	0.00000000	0.00065151	0.00000000	0.00000000	0.00733355	0.00333663	0.00000000	0.00000000	0.00010035	0.00381187	
Alistipes	0.00800751	0.00440139	0.01143932	0.03102001	0.02557951	0.00000000	0.01341232	0.03940625	0.02283936	0.00143587	0.05687461	0.03012451	0.06301080	0.09834992	0.00828737	0.02716883	0.02725027	0.00329756	0.09016789	0.03967225	0.09285596	0.07525142	0.04562357	0.05976234	0.01685340	0.00324419	0.01294448	0.02098143	0.09207655	0.01002030	0.01927817	0.02096138	0.07639090	0.00198274	0.02085928	0.00096335	0.02080660	0.02590072	0.01812907	0.04673646	0.01739452	0.05876292	0.02137771	0.00863480	0.02260114	0.01686013	0.00162710	0.01659451	0.00185199	0.03212340	0.00524773	0.04299283	0.14992408	0.00624237	0.02126830	0.07705628	0.01560783	0.10302411	0.01626211	0.04160770	0.01273736	0.01765932	0.03260689	0.03439788	0.06028022	0.01274545	0.01309446	0.01703326	0.02296373	0.00621671	0.01785182	0.00917034	0.02144719	0.02500530	0.00823100	0.02378920	0.01374612	0.02718274	0.01129095	0.01000555	0.06129588	0.03071012	
Alkaliphilus	0.00000000	0.00000000	0.00010659	0.00012741	0.00013692	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020575	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Alloprevotella	0.00000000	0.00000000	0.00053905	0.00014288	0.00000000	0.00017512	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00199540	0.00000000	0.00000000	0.02321395	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00018061	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00183153	0.00062062	0.00067717	0.00048260	0.00579389	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00815176	0.00143405	0.00000000	0.00054759	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00009575	0.00000000	0.00000000	0.00000000	0.00000000	0.02041833	0.00000000	0.00025450	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00025427	0.00000000	0.00000000	0.00000000	0.00512747	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Anaerococcus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00234478	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
