ID	P.SRR1761664	P.SRR1761665	P.SRR1761666	P.SRR1761667	P.SRR1761668	P.SRR1761669	P.SRR1761670	P.SRR1761671	P.SRR1761672	P.SRR1761673	P.SRR1761674	P.SRR1761675	P.SRR1761698	P.SRR1761699	P.SRR1761700	P.SRR1761701	P.SRR1761702	P.SRR1761703	P.SRR1761704	P.SRR1761705	P.SRR1761706	P.SRR1761707	P.SRR1761708	P.SRR1761709	P.SRR1761710	P.SRR1761711	P.SRR1761712	P.SRR1761713	P.SRR1761714	P.SRR1761715	P.SRR1761716	P.SRR1761717	P.SRR1761718	P.SRR1761719	P.SRR1761720	P.SRR1761721	
Acetivibrio	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00031226	0.00000000	0.00000000	0.00038193	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00059487	0.00000000	0.00000000	0.00046731	0.00000000	0.00034426	0.00000000	0.00000000	0.00025307	0.00000000	0.00000000	0.00000000	0.00000000	
Acetobacterium	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00025383	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Acholeplasma	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00036325	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00015447	0.00000000	0.00000000	
Acidaminococcus	0.00407791	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00077937	0.00000000	0.00135304	0.00000000	0.00000000	0.00045846	0.00000000	0.00000000	0.00027438	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00023729	0.00062273	0.00000000	0.00000000	0.00058611	0.00000000	0.00039264	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Akkermansia	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01812169	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.02165867	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.02387752	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Alistipes	0.00743842	0.01050369	0.00000000	0.00530827	0.02446908	0.01922271	0.02197581	0.00157365	0.01319555	0.00622718	0.00248875	0.00126057	0.00144565	0.00164392	0.00259157	0.00232601	0.01619257	0.00292264	0.00097189	0.00364467	0.00090254	0.00045757	0.00428474	0.00068901	0.00068061	0.00105862	0.00043066	0.00117604	0.00081984	0.00256348	0.00118032	0.00514980	0.00243497	0.00394900	0.00154001	0.00156629	
Alloprevotella	0.00534255	0.00083520	0.02498725	0.00046651	0.00136891	0.00000000	0.00106291	0.00660135	0.00103502	0.00086850	0.00941890	0.00111476	0.00579353	0.00018833	0.00051750	0.00000000	0.00000000	0.00063591	0.00000000	0.00372255	0.01117054	0.00296199	0.00058804	0.00000000	0.00545733	0.00000000	0.00000000	0.00038815	0.00372189	0.00172245	0.00000000	0.00394417	0.00049369	0.00392550	0.00436095	0.00000000	
Anaerofustis	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00052011	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00046748	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Anaerostipes	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00023922	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00025133	0.00000000	0.00000000	0.00000000	0.00033454	0.00042688	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Anaerotruncus	0.00000000	0.00097779	0.00000000	0.00056054	0.00096629	0.00077474	0.00164804	0.00000000	0.00086954	0.00119386	0.00000000	0.00037055	0.00188497	0.00154600	0.00204308	0.00000000	0.00166866	0.00192034	0.00218789	0.00045788	0.00000000	0.00119814	0.00114467	0.00139130	0.00061764	0.00281862	0.00186249	0.00207879	0.00081967	0.00208144	0.00238540	0.00123250	0.00095922	0.00034163	0.00077858	0.00081547	
Atopobium	0.00000000	0.00040662	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00033113	0.00000000	0.00000000	0.00000000	0.00293339	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Bacillus	0.00000000	0.00076844	0.00000000	0.00048399	0.00048912	0.00103942	0.00111714	0.00094621	0.00061694	0.00079778	0.00000000	0.00066067	0.00126775	0.00213052	0.00109859	0.00000000	0.00196360	0.00106402	0.00249436	0.00077882	0.00148626	0.00087773	0.00110668	0.00182056	0.00085467	0.00141835	0.00294824	0.00228977	0.00145560	0.00192741	0.00273533	0.00246967	0.00118943	0.00110137	0.00075749	0.00151097	
Bacteroides	0.03293919	0.02867684	0.04874023	0.01897017	0.04724539	0.03730136	0.03382172	0.03872825	0.03560526	0.03607094	0.05081125	0.01742827	0.01606489	0.01560070	0.02176882	0.05417188	0.02847218	0.02171320	0.00538610	0.03254145	0.06544630	0.02114021	0.01269848	0.00998329	0.02450578	0.01485589	0.00387317	0.01053361	0.04278028	0.02282940	0.00768305	0.02587503	0.02048438	0.02392753	0.05052624	0.01736890	
