Name	uncojsum
C1	9.491545
C2	6.350427491
C3	7.071851022
C4	4.260433816
C5	2.218129609
C6	8.030728181
C7	4.303123931
C8	3.426569599
C9	2.952058418
C10	3.219168465
F1	9.327892045
F2	7.825575396
F3	6.111021201
F4	4.229410763
F5	2.946022651
F6	10.36958834
F7	4.657019491
F8	3.596572543
F9	2.866257931
F10	5.231025404
A1	9.084236017
A2	7.180054369
A3	8.865297024
A4	2.955785402
A5	2.607401529
A6	10.27679577
A7	4.730769943
A8	3.579103798
A9	3.104405107
A10	4.437156831
S1	8.591238949
S2	5.629891324
S3	10.57822521
S4	5.346148112
S5	3.301697278
S6	11.38551296
S7	4.818115935
S8	3.621295004
S9	2.423925936
S10	3.956378901
R1	12.94181412
R2	9.107522373
R3	11.55909568
R4	5.343444028
R5	3.55398261
R6	12.94259488
R7	4.861164644
R8	3.5680361
R9	4.353052436
R10	7.153499803
	
	
	
	
	
