	CA	CDCA	BMCA	DCA	LCA	UDCA
Control	0.333408243	0.264286339	0.649456322	3.764337736	0.006919039	0.042932294
Control	0.27061072	0.09754571	0.871265895	4.658997301	0.010173499	0.066403248
Control	0.215460357	0.08480321	0.765426669	8.388483972	0.010853782	0.022086328
Control	0.27978241	0.090854758	1.12614929	13.32978652	0.011969181	0.063776926
Control	0.308970998	0.106813426	0.524939179	9.075113362	0.008454416	0.060180083
Control	0.341118543	0.098160591	0.570581545	6.94341747	0.00884868	0.058781862
Control	0.305151318	0.069741415	0.590232186	10.25173943	0.007576733	0.033261724
Control	0.18853952	0.100617901	0.629107499	6.110612012	0.006529139	0.086700125
L.animalis	0.273084366	0.106998338	0.725397128	3.074392586	0.007612007	0.03677101
L.animalis	0.226171659	0.126571518	0.644377895	15.10476567	0.017692852	0.039283262
L.animalis	0.236930589	0.055667843	1.111016724	6.143734246	0.008219056	0.064035684
L.animalis	0.587301994	0.154406022	1.338435821	11.5938373	0.007455553	0.190107779
L.animalis	0.392602049	0.069633801	1.352628558	20.86984008	0.014971976	0.140523696
L.animalis	0.269873066	0.033282117	2.764847667	18.3521798	1.17E-02	0.073543939
L.animalis	0.669363927	0.098107217	1.038814679	8.685109172	0.01321275	0.100653407
L.animalis	0.335748192	0.098180351	0.558890665	3.855783733	0.005797731	0.0145479
L.fermentum	0.604504111	0.100020684	2.014312184	7.599926897	0.008934682	0.146618954
L.fermentum	0.16367644	0.087875286	0.610031424	2.214204661	0.005586014	0.021666584
L.fermentum	0.257331908	0.120308732	1.083701482	3.944128441	0.00379782	0.047984877
L.fermentum	0.420354684	0.08220185	0.836271127	1.05077687	0.002697197	0.023939913
L.fermentum	0.246330891	0.087700906	0.759911391	3.758774361	0.012015322	0.011597109
L.fermentum	0.221169858	0.052339954	1.601450839	1.14165459	0.00286102	0
L.fermentum	0.580572857	0.07479812	0.806054163	0.69453785	0.002170587	0
L.fermentum	0.35018842	0.064093275	1.750039284	3.356505579	0.005576948	0.02661391
L.salivarius	0.348261354	0.079387096	1.097804783	3.022714704	0.005897347	0.143928383
L.salivarius	0.264610945	0.068414695	1.787615411	4.822696522	0.008100301	0.128491708
L.salivarius	0.312481683	0.052965435	0.614360778	2.38340117	0.004250611	0.006210901
L.salivarius	0.287626203	0.020502906	1.653590698	1.111443825	0.002977875	0.024609158
L.salivarius	0.411291292	0.135090714	0.534082396	4.719526796	0.008576088	0.052874672
L.salivarius	0.556355492	0.10004531	0.655120541	6.424312614	1.02E-02	0.047446592
L.salivarius	0.147738175	0.115034886	0.662160777	7.415215582	0.008217971	0.004303979
L.salivarius	0.537316153	0.081986145	0.74052483	2.671064191	0.004852582	0.073608431
L.reuteri	0.433200947	0.319029375	1.012459456	13.66616082	0.016525918	0.093784305
L.reuteri	0.511175254	0.131417716	2.587178147	16.88193867	0.013698684	0.137015824
L.reuteri	0.476929127	0.083780298	3.94631785	30.23807518	0.016886665	0.324528097
L.reuteri	1.296324443	0.183897076	4.495506696	24.81314815	0.009596345	0.481853689
L.reuteri	0.491122635	0.135588225	1.072041323	14.80448784	0.009734003	0.147355988
L.reuteri	0.200494862	0.129299498	2.513823344	16.11292796	0.015604602	0.031069877
L.reuteri	0.322816717	0.124440125	2.040516328	31.45235616	0.018572839	0.366815472
L.reuteri	0.310416231	0.087702413	0.703916881	8.529378934	0.010705334	0.037388985
