	CA	CDCA	BMCA	DCA	LCA	UDCA	GCA	GCDCA	GDCA	GUDCA	TCA	TCDCA	TDCA	TLCA	TUDCA
Control	0.098063394	0.055759251	0.345893621	0.013700736	0.000289727	0.011994838	0.002796981	8.80456E-05	0.000223223	8.44044E-06	0.289580737	0.006379274	0.009120845	0.000188789	0.00495052
Control	0.130936401	0.060790846	0.528507507	0.047597601	0.000218443	0.039154361	0.001085226	6.08376E-05	0.000611276	0.000346139	0.288378136	0.006421742	0.036954134	0.00017706	0.002554412
Control	0.028923092	0.019938283	0.303416353	0.003498893	0.000368238	0.006855214	0.013445013	0.000423073	0.002509352	0.000347739	0.5894317	0.041031113	0.018586247	0.001064889	0.035955566
Control	0.080793007	0.011918488	0.373074114	0.004079905	2.06819E-05	0.019993816	0.003122423	7.60501E-06	0.000318681	0.000142564	0.33344478	0.006400757	0.014055706	0.000359812	0.007681212
Control	0.312750239	0.086896019	0.661804877	0.027495846	3.98673E-05	0.03676063	0.009555514	6.40681E-05	0.002343897	6.53513E-06	0.804378275	0.006850924	0.022547421	0.000882221	0.00207657
Control	0.517651937	0.14522561	0.909229943	0.074979244	0.005364207	0.035761786	0.023912101	0.00016301	-0.000101504	0.000919304	1.078770634	0.017617062	0.027460536	0.001120929	0.015579902
Control	0.211049705	0.044184006	0.489048737	0.027793752	0.000505519	0.006659575	0.003194607	7.95072E-05	0.000918284	2.21451E-05	0.276475279	0.005991883	0.008760225	0.00046701	0.000797617
Control	0.457321876	0.097206828	1.175926587	0.078744318	0.001113049	0.046157977	0.022218531	4.75926E-05	0.001143432	2.81485E-05	1.210345961	0.006980104	0.066683559	0.004053589	0.00148264
Control	0.142157618	0.058054577	0.374887036	0.025446129	0.000960381	0.010976885	0.008694663	2.18707E-05	0.000539496	2.20038E-05	0.49122081	0.006755526	0.015168117	2.92409E-05	0.001291064
Control	0.144412711	0.060090227	0.250751838	0.022998626	0.000162643	0.010841243	0.002690093	4.33141E-05	0.000193675	1.89438E-05	0.238097296	0.006101909	0.007046412	0.000758892	0.004027185
Control	0.497676708	0.0837431	0.694659842	0.055440792	0.000635417	0.039453664	0.013348761	8.17219E-06	0.000632896	1.89279E-05	0.779319091	0.006165989	0.030977681	-1.4569E-05	0.002928503
Control	0.246373353	0.077419203	0.418210204	0.041089543	0.000584204	0.026777493	0.005717383	5.53954E-05	0.000738145	3.81328E-05	0.351049513	0.006353313	0.019164508	-3.10812E-05	0.002577925
Control	0.398065957	0.077610931	0.769704287	0.050012192	0.000724906	0.051837585	0.010731897	1.33447E-05	1.77971E-05	2.17774E-05	0.800144168	0.006004792	0.043554068	8.95297E-05	0.003574995
Control	0.309977884	0.080833526	0.427468406	0.046297374	0.001620161	0.021040612	0.012257479	7.5666E-05	0.001770746	5.16814E-05	0.559886513	0.006335482	0.032119496	0.000138683	0.002229727
L.animalis	0.217317984	0.041958953	0.474848417	0.024964111	0.000134036	0.015644077	0.002077538	-7.19701E-07	0.000281802	8.85701E-05	0.332090475	0.006479191	0.008298733	0.00018131	0.000435687
L.animalis	0.153344063	0.046537917	0.351540063	0.042093373	0.00083148	0.04989879	0.001995555	5.87741E-06	0.000545953	2.66642E-05	0.389693757	0.006310747	0.03806817	0.001080836	0.004589899
L.animalis	0.280266613	0.052965945	0.57107876	0.036464194	0.000869505	0.032728582	0.008930855	4.24253E-06	0.002385893	9.61029E-05	0.580319487	0.00629118	0.03152934	8.12786E-05	0.000432428
L.animalis	0.213655966	0.047262941	0.501906037	0.057037618	0.00117464	0.038097327	0.004054678	9.9988E-06	0.001258388	2.03502E-05	0.435528791	0.006209703	0.04649591	0.000181587	0.003990655
L.animalis	0.229741848	0.049474075	0.634711817	0.034001295	0.000652669	0.035104113	0.003811633	2.54843E-05	0.000513948	2.31843E-06	0.370093393	0.006259736	0.017146478	-3.35364E-05	0.000766458
L.animalis	0.097838208	0.03895831	0.320488363	0.021553368	0.00042031	0.0050846	0.003686319	4.1308E-05	0.000632468	2.39003E-05	0.384422081	0.006886432	0.019291624	0.000117401	0.002474512
L.animalis	0.045278909	0.035578515	0.138891302	0.027956481	0.000803904	0.007216112	0.005631586	9.07498E-05	0.000180141	0.000209754	0.081966876	0.006454725	0.007621505	0.000134426	0.000403831
L.animalis	0.223950636	0.058430073	0.591610211	0.033071799	0.00030347	0.021581971	0.01665107	2.13027E-05	0.000808657	4.91619E-05	0.669084156	0.006609393	0.036601685	6.60624E-05	0.003152413
L.animalis	0.442570534	0.057528799	0.65784744	0.0371236	6.32635E-06	0.025699016	0.042902057	6.59952E-05	0.000835716	8.97268E-05	0.790159318	0.006480414	0.02622018	0.000354995	0.003435437
L.animalis	0.191557115	0.055415386	0.48509971	0.019666558	1.91836E-05	0.01910191	0.007336726	0.000194537	0.00052758	0.000376739	0.705393813	0.007842289	0.021040673	0.000161042	0.000540993
L.animalis	0.053462731	0.046655217	0.107422882	0.026411198	0.000189734	0.004481555	-0.001157993	1.18172E-06	0.000107462	7.27675E-05	0.154398715	0.005930985	0.011035931	9.84018E-05	0.003246861
L.animalis	0.11197726	0.055981052	0.304020605	0.044580677	0.000668925	0.026793853	0.002559715	1.39648E-05	0.000612903	4.92539E-05	0.387785764	0.006355045	0.041215671	6.98871E-06	0.001813343
L.animalis	0.009382858	0.023510701	0.155605798	0.030735757	8.58434E-05	0.014829436	-8.43866E-05	2.24116E-05	0.00116084	2.43902E-05	0.101716591	0.006001274	0.016222954	0.00075678	0.010676359
L.animalis	0.138974153	0.045999211	0.218886102	0.031308699	0.000124096	0.012923126	0.005040121	1.09166E-05	0.000316861	0.000113333	0.204731199	0.00618691	0.012314035	0.000155954	0.001364876
L.fermentum	0.33709284	0.11229715	0.796262273	0.029774233	0.000948638	0.035774047	0.010018399	5.55402E-05	0.000251853	0.000158853	0.556370065	0.006694028	0.015003796	0.00024261	0.004215826
L.fermentum	0.19741229	0.01976506	0.531707287	0.014497228	0.000745084	0.007413789	0.008319628	6.11019E-05	-9.48256E-06	1.57377E-05	0.561201734	0.006051185	0.003198649	-9.06805E-06	0.007309106
L.fermentum	0.132806058	0.05423053	0.35582489	0.078166812	0.001014305	0.045364071	0.001008788	4.14967E-06	0.000735515	5.95558E-05	0.14766213	0.006220529	0.02869211	-4.98815E-05	0.000589146
L.fermentum	0.492520414	0.237301237	1.676629173	0.029830135	0.052955076	0.035921803	0.020442121	0.000108486	-9.05463E-05	2.40942E-05	1.433393612	0.010108952	0.035216096	0.000337024	0.008479271
L.fermentum	0.113146755	0.101530372	0.531680906	0.026434334	0.000537979	0.040471795	0.004580386	6.95259E-05	7.32721E-05	5.92151E-05	0.319066749	0.006374633	0.019854488	0.000349751	0.000741819
L.fermentum	0.774627043	0.174053498	1.365425844	0.08199838	9.07951E-05	0.084539047	0.042252884	3.65097E-05	0.003563903	8.89627E-06	1.429011037	0.006616774	0.065356345	0.000719978	0.002465861
L.fermentum	0.421242869	0.221557357	1.156884642	0.044118086	0.000628569	0.135707295	0.01417397	1.91022E-05	0.000790321	9.06147E-06	0.889113483	0.007818783	0.03555024	0.001641434	0.003971366
L.fermentum	0.414702473	0.049148167	0.797981919	0.048261764	0.000726968	0.009848307	0.007520691	0.00020031	0.000926841	9.30174E-05	0.37820964	0.006069078	0.017035357	0.000107351	0.000424952
L.fermentum	0.26073643	0.071409698	0.675269999	0.025973956	0.000328992	0.024945064	0.003984508	4.10335E-05	5.31308E-05	0.000548899	0.542410379	0.006166896	0.013585993	0.000163509	0.001487069
L.fermentum	0.546270864	0.138018083	0.790989728	0.055543388	0.004294415	0.032184311	0.012380902	5.42423E-05	0.000507661	1.93635E-05	0.901091885	0.006767961	0.036929478	4.20732E-05	0.003468232
L.fermentum	0.142327763	0.036960705	0.234891362	0.056343719	0.000721892	0.004961325	0.000595403	-1.16471E-06	0.000774036	6.00545E-05	0.224133836	0.005962303	0.027043306	-2.95257E-05	0.003685544
L.fermentum	0.132740726	0.070658714	0.42119169	0.029022561	0.000690715	0.003981904	0.001984125	7.22322E-06	0.000558192	0.000391809	0.314514203	0.006644369	0.018697271	6.29401E-05	0.000840602
L.fermentum	0.346367586	0.104139653	0.933302911	0.028314632	0.000535774	0.027911392	0.010003678	0.00020204	0.000155393	7.17393E-05	0.633310401	0.00692394	0.014436448	-2.40384E-05	0.000225444
L.fermentum	0.213134139	0.097107891	0.744938027	0.023967813	0.000420498	0.024912804	0.010141966	8.46822E-06	5.41024E-06	0.000190264	0.462519654	0.007076271	0.014964001	-8.09831E-05	0.000478427
