	CA	CDCA	BMCA	DCA	LCA	UDCA	GCA	GCDCA	GDCA	GUDCA	TCA	TCDCA	TDCA	TLCA	TUDCA
Control	0.396450319	0.000518451	0.348083492	0.020356503	0.001764939	0.001402331	0	4.89E-04	0.003485215	2.61E-04	0.030905002	0.0030129	0.024861876	2.48E-04	0.002804817
Control	0.849143445	0.000345706	0.374272273	0.006970102	5.91E-04	0.00137703	0.000294548	1.18E-04	0.003657279	2.00E-04	0.293538028	0.0154462	0.161514286	0.000275451	0.003510018
Control	0.492677685	0.000757568	0.250195229	0.040863168	0.002626284	0.001401081	0.000414748	0.000107584	0.004014152	1.47E-04	0.024283952	0.003153154	0.035427026	6.31E-05	0.002279102
Control	0.391183377	8.22E-05	0.22639124	0.036027529	0	0.000107188	0.000453951	3.33E-05	0.003297934	1.91E-04	0.084189343	0.004866365	0.194582779	0.000350662	0.002181079
Control	0.570172452	0.000321388	0.336818763	0.078446533	0	0.000685398	0.004339186	2.65E-04	0.004693201	2.32E-04	0.793379121	0.039690416	0.695439988	1.25E-04	0.006549534
Control	0.818825313	0.001134612	0.361373162	0.063175404	0.000514548	0.001903826	0.002286485	1.72E-04	0.009673121	3.58E-04	0.106762277	0.0150342	0.328069681	3.24E-04	0.00642122
Control	0.60183283	0.001306584	0.455391313	0.132215654	0.000747548	0.006945193	0.001880156	1.54E-04	1.57E-02	1.77E-04	0.393732281	0.019415363	0.480626002	7.33E-04	0.007070039
Control	0.431860288	0.000434604	0.176178706	0.069462873	0.015664376	0.000546503	0.001994466	1.98E-04	0.008217075	7.12E-04	0.23791297	0.016265675	0.485742212	1.25E-04	0.004520717
L.animalis	0.334488061	7.81E-05	0.282522362	0.015599775	0	0.000293042	0.002548047	1.16E-04	0.006248137	1.50E-04	0.504497833	0.020976444	0.33066274	2.94E-04	0.007042634
L.animalis	0.325955205	0.001108962	0.464447318	0.131738811	0	0.006813445	0.002506634	9.59E-05	0.00335067	2.91E-04	0.351735609	0.01843753	0.20761807	0.000385728	0.010823194
L.animalis	0.446139833	0.000220629	0.242132223	0.068536823	0.0006678	0.000685047	0.002525855	1.55E-04	0.029840736	1.20E-04	0.183124661	0.008104983	0.468560988	1.27E-04	0.006783611
L.animalis	0.638071134	0.003053553	0.960079463	0.386281878	0.000669347	0.014342076	0.00117573	5.29E-04	0.008174246	1.05E-04	0.318001669	0.012588696	0.298809718	4.19E-04	0.000622427
L.animalis	0.445936428	0.00179026	0.430246056	0.240157149	0.000912665	0.010319257	0.001204858	1.40E-04	0.000633075	1.23E-04	0.008462102	0.001763503	0.094623162	1.74E-04	0.001350918
L.animalis	0.156702132	0.000151357	0.220098613	0.026503868	0	0.000821054	0	9.65E-05	0.000944002	0.000108257	0	0	0.003119337	4.18E-05	4.80E-04
L.animalis	0.546875663	0.001424633	0.433338618	0.26876926	7.59E-05	0.005317681	0.001303584	2.47E-04	0.009099572	1.25E-04	0.080227185	0.015030869	0.489794912	3.32E-03	0.009102755
L.animalis	0.117352455	0.000259569	0.234395528	0.066805221	2.12E-04	0.002286526	0.00E+00	2.51E-04	0.004295906	1.38E-04	0	0	0	7.34E-05	0.0008829
L.fermentum	0.086124731	0	0.143265245	0.000919705	0.000248362	9.67E-06	0.00124453	2.54E-04	0.00E+00	1.76E-04	0.560618412	0.020579993	0.168335307	0.00E+00	0.001952325
L.fermentum	0.204145239	0.001389376	0.479049502	0.128338046	0	0.006463511	0	1.48E-04	0.004256252	6.05E-05	0	9.66E-04	7.01E-02	2.90E-04	0.00410026
L.fermentum	0.299956014	0.003284948	0.488878767	0.164552628	0.001192916	0.008439417	0.000371301	1.25E-04	3.95E-03	6.46E-05	0.019150951	0.006167645	0.043263544	0.000201756	0.004505355
L.fermentum	0.264104107	0	0.246406556	0.01197422	0.0005639	0	0.001989012	5.85E-04	0.012362189	9.26E-05	0.319023095	0.012205732	0.199079752	0.000443735	0.002767101
L.fermentum	0.041317517	0.000326511	0.146692501	0.03378281	0	0.00129381	0.000217844	7.23E-04	3.25E-03	1.88E-04	0.228545316	0.010312933	0.111458004	0.000106373	0.003417925
L.fermentum	0.172647595	0.000297799	0.256780807	0.078264849	0.001466084	0.000279203	0	1.53E-03	0.003451618	1.77E-04	0	0.000580992	0.174187247	5.32E-05	0.001054323
L.fermentum	0.403425533	0.001204835	0.391932474	0.061503509	0.000581935	0.001283249	0.002869458	0.000118538	0.007687422	1.53E-04	0.846679151	0.042627974	0.396866811	7.02E-05	0.007311903
L.fermentum	0.30801764	0.00177705	0.378093816	0.084301122	0	0.003033593	0.003892104	5.23E-04	6.76E-03	5.58E-05	0.713871419	0.037581299	0.226368198	1.62E-04	0.005929559
L.salvarious	1.094597189	0.002760596	1.354887896	0.311605552	0.005018826	0.009802975	0.000587645	1.68E-04	0.016909116	1.36E-04	0.235941039	0.00922056	0.251810627	5.65E-05	0.002452914
L.salvarious	0.538831327	0.002005967	0.702260359	0.163393075	6.29E-04	0.00534669	0.005981742	1.34E-04	0.017571925	1.49E-04	0.672076809	0.035277872	0.726185333	0.00E+00	0.007102849
L.salvarious	0.362274626	0.000867251	0.512148335	0.142117414	0.000190554	0.002380461	0	1.53E-05	0.001418283	1.49E-04	0.086326186	0.008299225	0.294898933	1.42E-03	0.00479116
L.salvarious	0.299225371	0.000616494	0.439750798	0.217233158	0.00E+00	0.002752694	0.001736997	1.58E-03	5.56E-03	3.85E-04	0.091418256	0.015231852	0.231624652	0.000238246	0.00794524
L.salvarious	0.731933687	0.003248655	0.944950523	0.211296179	0.000628763	0.012291274	0	3.53E-04	2.37E-04	4.73E-05	0.013019865	0.007467723	0.086907224	0.00E+00	0.004234668
