substrate,type,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,y.position,groups,xmin,xmax,tag,top,y.pos,p.scient,custom.label
BMCA,Unconjugated BA,content,Control,L.reuteri,8,8,12,0.038,0.455,ns,4.606998000000001,,1,5,1,1.7773525273764452,2.666028791064668,3.8e-02,0.038
BMCA,Unconjugated BA,content,Control,L.reuteriHQ,8,8,0,1.55e-4,0.003,**,5.016624,,1,6,2,1.7773525273764452,3.376969802015246,1.5e-04,1.55e-4
BMCA,Unconjugated BA,content,Control,HQ,8,8,0,1.55e-4,0.003,**,5.4262500000000005,,1,7,3,1.7773525273764452,4.087910812965824,1.5e-04,1.55e-4
CA,Unconjugated BA,content,Control,L.fermentum,8,8,62,6.22e-4,0.009,**,3.64112,,1,2,1,2.0921761993723296,3.1382642990584944,6.2e-04,6.22e-4
CA,Unconjugated BA,content,Control,L.reuteri,8,8,13,0.05,0.349,ns,4.869998,,1,5,2,2.0921761993723296,3.9751347788074263,5.0e-02,0.05
CA,Unconjugated BA,content,Control,L.reuteriHQ,8,8,0,1.55e-4,0.003,**,5.279624,,1,6,3,2.0921761993723296,4.812005258556359,1.5e-04,1.55e-4
CA,Unconjugated BA,content,Control,HQ,8,8,2,6.22e-4,0.009,**,5.6892499999999995,,1,7,4,2.0921761993723296,5.64887573830529,6.2e-04,6.22e-4
CDCA,Unconjugated BA,content,Control,L.reuteriHQ,8,8,3,0.001,0.022,*,2.034624,,1,6,1,0.003647084063891249,0.005470626095836874,1.0e-03,0.001
CDCA,Unconjugated BA,content,Control,HQ,8,8,2,6.22e-4,0.013,*,2.44425,,1,7,2,0.003647084063891249,0.006929459721393374,6.2e-04,6.22e-4
DCA,Unconjugated BA,content,Control,L.reuteri,8,8,7,0.007,0.112,ns,2.240998,,1,5,1,0.4648806008380191,0.6973209012570286,7.0e-03,0.007
DCA,Unconjugated BA,content,Control,L.reuteriHQ,8,8,0,1.55e-4,0.003,**,2.6506239999999996,,1,6,2,0.4648806008380191,0.8832731415922364,1.5e-04,1.55e-4
DCA,Unconjugated BA,content,Control,HQ,8,8,4,0.002,0.035,*,3.06025,,1,7,3,0.4648806008380191,1.069225381927444,2.0e-03,0.002
GCA,Conjugated BA,content,Control,L.reuteriHQ,8,8,13,0.05,0.848,ns,2.038624,,1,6,1,0.005465821076577159,0.008198731614865739,5.0e-02,0.05
GCA,Conjugated BA,content,Control,HQ,8,8,10,0.021,0.414,ns,2.44825,,1,7,2,0.005465821076577159,0.010385060045496603,2.1e-02,0.021
GDCA,Conjugated BA,content,Control,L.reuteriHQ,8,8,13,0.05,0.948,ns,2.058624,,1,6,1,0.015123054362766142,0.022684581544149214,5.0e-02,0.05
GUDCA,Conjugated BA,content,Control,L.fermentum,8,8,58.5,0.006,0.119,ns,0.39111999999999997,,1,2,1,3.8472227891696894e-4,5.770834183754534e-4,6.0e-03,0.006
GUDCA,Conjugated BA,content,Control,L.animalis,8,8,57,0.007,0.126,ns,0.800746,,1,3,2,3.8472227891696894e-4,7.30972329942241e-4,7.0e-03,0.007
GUDCA,Conjugated BA,content,Control,L.reuteriHQ,8,8,54,0.021,0.352,ns,2.029624,,1,6,3,3.8472227891696894e-4,8.848612415090286e-4,2.1e-02,0.021
TCDCA,Conjugated BA ,content,Control,L.reuteriHQ,8,8,12,0.038,0.72,ns,2.102624,,1,6,1,0.04062607262157954,0.060939108932369306,3.8e-02,0.038
UDCA,Unconjugated BA,content,Control,L.reuteriHQ,8,8,1,3.11e-4,0.007,**,2.057624,,1,6,1,0.01632345461407716,0.024485181921115737,3.1e-04,3.11e-4
UDCA,Unconjugated BA,content,Control,HQ,8,8,4,0.002,0.035,*,2.46725,,1,7,2,0.01632345461407716,0.031014563766746602,2.0e-03,0.002
